Jockey,騎師,Win,Jockey2
Moreira J.,莫雷拉,25.3,J Moreira
Angland T.,安國倫,20.0,T Angland
Tosaki K.,戶崎圭太,16.7,K Tosaki
Purton Z.,潘頓,15.1,Z Purton
Soumillon C.,蘇銘倫,14.3,C Soumillon
de Sousa S.,蘇兆輝,14.2,S de Sousa
Moore R.,莫雅,13.8,R Moore
Bowman H.,布文,13.2,H Bowman
Berry T.,貝湯美,12.1,T Berry
Chiong K.K.,蔣嘉琦,11.6,K K Chiong
Prebble B.,柏寶,10.2,B Prebble
Williams C.,韋紀力,10.0,C Williams
Schofield G.,史科菲,9.1,G Schofield
Teetan K.,田泰安,8.2,K Teetan
Callan N.,郭能,7.8,N Callan
Rawiller N.,羅理雅,7.8,N Rawiller
Brown C.,白布朗,7.7,C Brown
Schofield C.,史卓豐,6.9,C Schofield
Whyte D.,韋達,6.9,D Whyte
Leung K.C.,梁家俊,6.5,K C Leung
Cheminaud V.,湛明諾,6.2,V Cheminaud
Mosse G.,巫斯義,6.2,G Mosse
Yeung M.L.,楊明綸,5.8,M L Yeung
Wong H.N.,黃皓楠,5.7,H N Wong
Benoist G.,貝諾華,5.5,G Benoist
Doleuze O.,杜利萊,5.5,O Doleuze
Bosson O.,寶遜,4.2,O Bosson
Chadwick M.,蔡明紹,4.2,M Chadwick
Ho C.Y.,何澤堯,4.2,C Y Ho
So T.H.,蘇狄雄,3.9,T H So
Cheng Y.T.,鄭雨滇,3.8,Y T Cheng
da Silva E.,姚力高,3.6,E da Silva
Lai H.W.,黎海榮,3.5,H W Lai
Lerena G.,雷景勳,3.3,G Lerena
Fourie R.,霍勵賢,2.8,R Fourie
Lai W.M.,賴維銘,2.7,W M Lai
Ng K.C.,吳嘉晉,2.1,K C Ng
Tong C.K.,湯智傑,0.4,C K Tong
Barzalona M.,巴米高,0.0,M Barzalona
Rispoli U.,李寶利,0.0,U Rispoli
Rodd M.,羅達,0.0,M Rodd
Shinn B.,薛恩,0.0,B Shinn
