Trainer,練馬師,Win,Trainer2
Size J.,蔡約翰,14.8,J Size
Shum C.S.,沈集成,11.8,C S Shum
Moore J.,約翰摩亞,9.8,J Moore
Cruz A.S.,告東尼,9.0,A S Cruz
O'Sullivan P.,蘇保羅,13.0,P O'Sullivan
Tsui Y.S.,徐雨石,7.9,Y S Tsui
Fownes C.,方嘉柏,7.5,C Fownes
Yip C.H.,葉楚航,6.9,C H Yip
Lui K.W.,呂健威,10.8,K W Lui
Millard A.T.,苗禮德,8.3,A T Millard
So W.Y.,蘇偉賢,7.3,W Y So
Yiu P.F.,姚本輝,7.3,P F Yiu
Hall D.J.,賀賢,8.5,D J Hall
Man K.L.,文家良,7.7,K L Man
Yung T.P.,容天鵬,7.4,T P Yung
Ho L.,何良,8.4,L Ho
Lee A.,李易達,5.5,A Lee
Cruz D.,告達理,5.1,D Cruz
Chang C.W.,鄭俊偉,5.2,C W Chang
Ferraris D.E.,霍利時,4.1,D E Ferraris
Gibson R.,高伯新,4.9,R Gibson
Schutz A.,孫達志,4.4,A Schutz
Woods S.,胡森,4.6,S Woods
Ng T.K.,吳定強,4.1,T K Ng
