Dam,DamRank
A Class Act,6.0
Abenroad,10.0
Absolute Dream,11.0
Acid Test,11.0
Across The Moon,7.0
Adja,3.0
Adulterer,5.0
Aemilee,7.0
Aeronwy,11.0
Afnoon,10.0
Aga Panther,6.0
Age Of Chivalry,9.0
Agi Gu Li,11.0
Agnetha,5.0
Ailalea,10.0
Aimee's Idol,6.0
Al Anood,12.0
Al Basar,5.0
Al's Magic Miss,11.0
Alamagna,11.0
Alamantra,9.0
Albacora,6.0
Alberton Park,6.0
Aliyana Tilde,7.0
Allegra,8.0
Alleyrun,7.0
Allez France,11.0
Allmia,7.0
Allure,7.0
Alluring Belle,10.0
Almunia,6.0
Aloha Charm,5.0
Althea Rose,8.0
Amarazetti,12.0
Amazing Tale,2.0
Amber Bouquet,13.0
Ambitious Lady,7.0
Amitola,6.0
Ammia,6.0
Amoureux,10.0
Andorra,10.0
Angel's Breath,12.0
Angora,6.0
Aniarnota,6.0
Anjella,8.0
Annalee,8.0
Anne Of Kiev,11.0
Annee Lumiere,7.0
Annie Daly,6.0
Apocrypha,7.0
Applause,5.0
Appointment,13.0
Aqua d'Amore,5.0
Arabian Art,4.0
Are You Devious,7.0
Aria Di Festa,7.0
Aringarosa,5.0
Arms Wide Open,4.0
Around The Clock,5.0
Arthurs Princess,6.0
Ashalanda,5.0
Asiana,6.0
Astilbe,10.0
Astronomy Domine,6.0
At Ease,4.0
Atlantic Slew,10.0
Attilia,5.0
Aucilla,5.0
Aurora's Hot,4.0
Aussie Christmas,3.0
Aussie Opera,10.0
Authentic Desire,7.0
Autumn Belle,9.0
Avoid,5.0
Awesome,9.0
Awjila,6.0
Axiom,1.0
Baahama,8.0
Baby Boom,4.0
Baby Corn,8.0
Bail Out,5.0
Ballet Society,4.0
Bani Yas,7.0
Bannisters,6.0
Bantry Bay,5.0
Barathea Dancer,9.0
Bargouzine,7.0
Base Paradise,4.0
Batroun,6.0
Beaten By The Bel,10.0
Beautiful Unicorn,8.0
Becalm,12.0
Bedizened,9.0
Bella Bellucci,7.0
Bella Laguna,12.0
Bella Renza,12.0
Bella Rosalia,4.0
Bella Vedera,10.0
Belle d'Orleans,9.0
Besame Mucho,12.0
Betty Brown,6.0
Bexley,8.0
Big Swifty,6.0
Bislieri,7.0
Biz Bar,8.0
Black Beauty,8.0
Black Mamba,6.0
Blue Dune,11.0
Blue Fairy Wren,9.0
Bokissa,6.0
Boldina,5.0
Bonifacio,2.0
Borobodur,6.0
Box Of Frogs,10.0
Brave And Bold,8.0
Brave Soul,5.0
Break Of Dawn,8.0
Bridge Note,5.0
Bright Abyss,7.0
Bright Heart,6.0
Bright Snow,6.0
Bronislava,9.0
Brooklyn Roads,6.0
Brookster,6.0
Brunch Bellini,12.0
Buchanan Girl,3.0
Buck 'N' Jazz,8.0
Bush Triumph,5.0
C'est L'Amour,3.0
Caldine,10.0
Calemore,10.0
Callipygian,5.0
Camphor,5.0
Candy Ride,7.0
Canterbury Lace,7.0
Capacious,6.0
Cape Dollar,4.0
Cape Princess,2.0
Capichera,8.0
Capote West,6.0
Captivating Lady,4.0
Caralowe,8.0
Cariad,5.0
Carnebelle,7.0
Carry On Cutie,5.0
Cassata,9.0
Cassie May,9.0
Casual Chick,5.0
Casual Glance,4.0
Celebria,8.0
Celebrity Appeal,6.0
Celestina Agostino,4.0
Celtic Dream,12.0
Centreofattention,5.0
Chaleur,1.0
Chameleon,4.0
Chanter,6.0
Charangas,5.0
Charlety Star,8.0
Charmed Lady,7.0
Charming Elle,8.0
Check In Time,6.0
Cheer Girl,6.0
Cheree's General,6.0
Chichi Romero,5.0
China Choice,4.0
Chinese White,7.0
Chockaholic,4.0
Choice Words,8.0
Christinas Letter,9.0
Cinnadream,4.0
Cirque Du Soleil,11.0
Citron Presse,3.0
Claiomh Solais,6.0
Classy Fashion,8.0
Clenaghcastle Lady,9.0
Clinical,6.0
Cloanthy,5.0
Close To The Edge,6.0
Coachhouse Lady,10.0
Coco Kerringle,8.0
Coconut Kisses,12.0
Coimbra,6.0
Colorado Claire,3.0
Comedy Express,10.0
Comic Song,11.0
Comme Tu Veux,5.0
Compact Pussycat,4.0
Compelling,5.0
Connote,5.0
Considerable,7.0
Contented,5.0
Contrary,2.0
Cool Catena,9.0
Coolminx,8.0
Coonac,7.0
Cortina Gal,6.0
Count Your Fingers,10.0
County Mayo,7.0
County Tale,4.0
Covenant,10.0
Covertly,11.0
Creative Plan,5.0
Creil,8.0
Crest Of The Wave,11.0
Crevice,4.0
Cristallo,5.0
Cromac,7.0
Cuilaphuca,6.0
Cyclone Stacey,6.0
Dakota Sue,6.0
Daly Charm,4.0
Dama de Noche,1.0
Damah Lady,5.0
Damascus Charmer,11.0
Damask,10.0
Dame Hester,6.0
Dance Hit,5.0
Dance Idol,5.0
Dance Move,6.0
Dancescape,5.0
Dandify,8.0
Danehill Smile,6.0
Danesty,7.0
Dangerous Dancer,4.0
Danish Princess,6.0
Dantessa,8.0
Dashie Diva,6.0
Dazzling Rose,10.0
De Chorus,3.0
De Groove,3.0
De Right Stuff,9.0
Deal Or No Deal,6.0
Dearness,6.0
Defined Feature,9.0
Definite Opinion,8.0
Defy The Odds,6.0
Dellwood Diva,6.0
Demandehere,7.0
Derrycarna,4.0
Desert Berry,4.0
Desert Gardens,6.0
Diamond Masque,6.0
Dica,11.0
Diksie Dancer,9.0
Distinctive Dane,10.0
Disturbingthepeace,4.0
Ditas,3.0
Divert,4.0
Divine Lady,7.0
Divine Miss Em,6.0
Divine Presence,12.0
Dizelle,7.0
Dolly Disaster,9.0
Don't Blink,8.0
Donna's Appeal,4.0
Dontwaltzme,5.0
Dosh,4.0
Double Bluff,12.0
Doubrovska,7.0
Dream Leica,8.0
Dreamaway,7.0
Dreamworker,2.0
Driving Rein,6.0
Drops,6.0
Dubai Me Diamonds,8.0
Dublin Me Bet,8.0
Duck For Cover,7.0
Dyna Slam,7.0
Easy Step,2.0
Ebadiyla,6.0
Ebony Flyer,9.0
Eden,5.0
Egeria,6.0
Elahi,5.0
Elektra Marino,5.0
Elle Labelle,8.0
Elsewhere,6.0
Emerald Beauty,5.0
Emerald Isle,6.0
Emma Princess,6.0
Empire Rose,8.0
Enchant,6.0
Enciamo,3.0
English Kath,10.0
Enzed,6.0
Eroica,4.0
Escape To Victory,7.0
Etoile Nocturne,6.0
Eugenie Gold,8.0
Eurostorm,6.0
Eutrophy,5.0
Evening Pleasures,7.0
Everswindell,5.0
Evoked,9.0
Exedra,8.0
Exelante,6.0
Extension Of Time,3.0
Extra Explosive,9.0
Eyelean,4.0
Fain,4.0
Fairchild,5.0
Fairly Feline,8.0
Fairy Tree,5.0
Fandanita,8.0
Fantastic Flo Jo,6.0
Fantastic Glen,4.0
Far Far Away,8.0
Fast Fame,3.0
Fast Fleet,4.0
Fete Fille,10.0
Fiammarosa,10.0
Fidele,6.0
Fille The Joy,11.0
Fine Jade,8.0
Fine Stem,7.0
Fire Song,5.0
Fleeting Touch,9.0
Fleur de Lion,6.0
Flightime,9.0
Flion Fenena,2.0
Flower Fest,4.0
Flowerchild,8.0
Flutter,7.0
Flying Jet,9.0
Flying Mistress,8.0
Flying Success,4.0
Folichonne,6.0
Follonica,9.0
Fonteyn Star,7.0
Forever Midnight,10.0
Forget Ima Lady,6.0
Former Glory,6.0
Forty Two Below,7.0
Foxstar,6.0
Frabjous,7.0
Free Spirited,6.0
Frenchs Forest,8.0
Frequent Flyer,11.0
Friskee,7.0
Fromage,8.0
Full Snow Moon,7.0
Fullazz,8.0
Further,3.0
Future Choice,4.0
Gabrieli,7.0
Gatestopper,6.0
Gathering Gold,11.0
Gaudeamus,1.0
Gee Kel,7.0
Gemadaily,7.0
Gemima,10.0
Gemstone Peak,8.0
Gender Dance,8.0
Gentle On My Mind,8.0
Get A Life,6.0
Gingerbread,5.0
Girl Hussler,4.0
Girl Power,5.0
Girls On Top,5.0
Gladwell,5.0
Glam Slam,11.0
Glyndebourne,11.0
God Love It,10.0
Godspell,7.0
Gold Circle,1.0
Golden Gamble,7.0
Goldfinger,7.0
Gondola Girl,12.0
Gone Wild,7.0
Good Weekend,3.0
Grace And Eva,8.0
Graces Spirit,6.0
Gradara,10.0
Grand Belt,1.0
Grand Princess,2.0
Grantsville,8.0
Great News,5.0
Green Mirage,6.0
Greta's Yarn,1.0
Grey Deceiver,4.0
Grey Swallow,5.0
Grey Swan,6.0
Grilse,5.0
Grojsman,10.0
Gulfstream,7.0
Gunawati,5.0
Gwyllion,5.0
Gypsy Carnival,11.0
Gypsy Mai,5.0
Gypsy Marauder,6.0
Haberdashery,6.0
Hang Seng,11.0
Hannah In A Hurry,3.0
Hassaya,8.0
Hayley's Thunder,6.0
Healing Dream,10.0
Heaven Beneath,5.0
Heaven Sent,6.0
Heavenly Dreamer,12.0
Heavens Peak,3.0
Heir Today,9.0
Heliograph,6.0
Here To Eternity,6.0
Here de Joy,5.0
Hey Pretty Katie,10.0
Hidden Spirit,10.0
High Aspirations,4.0
High Cross,7.0
Highland Daughter,2.0
Hilton Head,3.0
Hint Of Glory,6.0
Holiday In Goa,7.0
Honeymoonzova,9.0
Hope So,3.0
Horkins Nancy,10.0
Hosiery,3.0
Hot Diamond,4.0
Hula Here,10.0
Hush Up,7.0
Hyades,5.0
Hypoteneuse,12.0
I Que,5.0
I'llthinkaboutit,8.0
I'm No Chicken,12.0
Ice Cold Crownie,6.0
Idea,4.0
Idriess,7.0
Ighraa,10.0
Iltizaam,7.0
Imitation,4.0
Impressing Matters,6.0
In The Mood,6.0
