date,raceCourse,raceNo,going,raceName,road,money,class,dist,plc,horseNo,horseName,jockey,trainer,awt,dhw,draw,lbw,runPos,finishTime,odds,horseCode,Chinese Name,Code,English Name,Former Name,Sire,Dam,Import Type,Country Of Origin,Age,Foaling Date,Jockey,Win%_x,騎師,Jockey2,Trainer,Win%_y,練馬師,Trainer2,DamRank,SireRank
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,1,6.0,FORTUNE PATROL,K Teetan,P O'Sullivan,128,1060,3,-,10 9 9 6 1,1:47.81,6.4,A245,靈鋒 ,A245,FORTUNE PATROL,Bahamas,Rip Van Winkle,Gwyllion,PP,IRE,5.0,2014-12-04 00:00:00,K Teetan,1300.0,田泰安,K Teetan,P O'Sullivan,600,蘇保羅,P O'Sullivan,5.0,6.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,2,9.0,GORGEOUS AGAIN,G van Niekerk,C S Shum,126,1101,1,1-1/4,7 7 8 10 2,1:48.02,3.7,V326,華麗再現 ,V326,GORGEOUS AGAIN,----,Fastnet Rock,Ocean Pearl,ISG,AUS,6.0,2012-08-17 00:00:00,G van Niekerk,700.0,nan,nan,C S Shum,1000,沈集成,C S Shum,8.0,7.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,3,8.0,YOUNG GLORY,U Rispoli,D E Ferraris,127,1211,13,3,14 14 14 14 3,1:48.29,18,B292,競駿飛鷹 ,B292,YOUNG GLORY,----,Niagara,Divine Miss Em,PPG,NZ,4.0,2014-09-28 00:00:00,U Rispoli,600.0,李寶利,U Rispoli,D E Ferraris,500,霍利時,D E Ferraris,6.0,8.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,4,11.0,PROUD SKY,A Domeyer,L Ho,123,1058,12,4-1/4,11 11 11 7 4,1:48.47,22,V406,火天大有 ,V406,PROUD SKY,Clear Cut,Acclamation,Claiomh Solais,PP,GB,6.0,2013-01-03 00:00:00,A Domeyer,1000.0,nan,nan,L Ho,800,何良,L Ho,6.0,6.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,5,13.0,CELEBRATION,M Chadwick,K H Ting,113,1021,10,4-3/4,2 4 4 3 5,1:48.57,28,A085,金禧足球 ,A085,CELEBRATION,----,O'Reilly,One Love,PPG,NZ,5.0,2013-10-16 00:00:00,M Chadwick,500.0,蔡明紹,M Chadwick,K H Ting,1300,nan,nan,7.0,6.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,6,5.0,LUCKY WIN WIN,M L Yeung,T P Yung,128,1210,4,5,6 8 7 9 6,1:48.59,31,B035,勇福星 ,B035,LUCKY WIN WIN,----,Ocean Park,On The Board,PPG,NZ,4.0,2014-08-26 00:00:00,M L Yeung,400.0,楊明綸,M L Yeung,T P Yung,600,容天鵬,T P Yung,6.0,6.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,7,1.0,ABOVE,C Schofield,J Moore,133,1002,8,5-1/4,5 3 2 2 7,1:48.67,14,B345,高瞻遠矚 ,B345,ABOVE,----,Tavistock,Once More,PPG,NZ,3.0,2015-10-14 00:00:00,C Schofield,900.0,史卓豐,C Schofield,J Moore,1300,約翰摩亞,J Moore,9.0,7.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,8,14.0,ROCKET GO,M F Poon,K L Man,111,1168,5,5-3/4,8 1 1 1 8,1:48.74,221,A322,火箭活力 ,A322,ROCKET GO,----,Fastnet Rock,Allez France,ISG,AUS,5.0,2013-10-20 00:00:00,M F Poon,700.0,潘明輝,M F Poon,K L Man,600,文家良,K L Man,11.0,7.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,9,12.0,ROMANTIC JOURNEY,R Bayliss,C W Chang,118,1073,14,7-3/4,12 13 13 11 9,1:49.03,35,B107,醒目快駒 ,B107,ROMANTIC JOURNEY,Kunming,More Than Ready,Perfect Truth,PP,AUS,5.0,2013-09-15 00:00:00,R Bayliss,300.0,nan,nan,C W Chang,400,鄭俊偉,C W Chang,9.0,6.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,10,7.0,KEEP WINNING,Z Purton,C W Chang,128,1115,7,8,4 5 6 8 10,1:49.08,6.6,B331,向前看 ,B331,KEEP WINNING,Hugin,Henrythenavigator,Silver Star,PP,IRE,5.0,2014-05-02 00:00:00,Z Purton,2200.0,潘頓,Z Purton,C W Chang,400,鄭俊偉,C W Chang,10.0,7.0
