date,raceCourse,raceNo,going,raceName,road,money,class,dist,plc,horseNo,horseName,awt,dhw,draw,lbw,runPos,finishTime,odds,Chinese Name,Code,English Name,Former Name,Sire,Dam,Import Type,Country Of Origin,Age,Foaling Date,Jockey,J_Win,J_2nd,J_3rd,J_4th,J_5th,Total Rides,J_Stakes Won,Trainer,T_Win,T_2nd,T_3rd,T_4th,T_5th,Total Runs,T_Stakes Won,DamRank,SireRank,JockeyRank,TrainerRank
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,1,6.0,FORTUNE PATROL,128,1060,3,-,10 9 9 6 1,1:47.81,6.4,靈鋒 ,A245,FORTUNE PATROL,Bahamas,Rip Van Winkle,Gwyllion,PP,IRE,4.0,2014-12-04 00:00:00,K Teetan,9.0,9.0,12.0,10.0,10.0,588.0,70099585.0,P O'Sullivan,9.0,9.0,9.0,8.0,8.0,452.0,43964855.0,10.0,10.0,45.0,43.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,2,9.0,GORGEOUS AGAIN,126,1101,1,1-1/4,7 7 8 10 2,1:48.02,3.7,華麗再現 ,V326,GORGEOUS AGAIN,----,Fastnet Rock,Ocean Pearl,ISG,AUS,6.0,2012-08-17 00:00:00,nan,nan,nan,nan,nan,nan,nan,nan,C S Shum,10.0,8.0,9.0,7.0,7.0,488.0,63076620.0,nan,2.0,nan,45.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,3,8.0,YOUNG GLORY,127,1211,13,3,14 14 14 14 3,1:48.29,18,競駿飛鷹 ,B292,YOUNG GLORY,----,Niagara,Divine Miss Em,PPG,NZ,4.0,2014-09-28 00:00:00,U Rispoli,7.0,7.0,7.0,9.0,8.0,465.0,39452275.0,D E Ferraris,6.0,8.0,8.0,10.0,9.0,488.0,33464060.0,nan,12.0,39.0,33.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,4,11.0,PROUD SKY,123,1058,12,4-1/4,11 11 11 7 4,1:48.47,22,火天大有 ,V406,PROUD SKY,Clear Cut,Acclamation,Claiomh Solais,PP,GB,6.0,2013-01-03 00:00:00,nan,nan,nan,nan,nan,nan,nan,nan,L Ho,7.0,8.0,8.0,7.0,9.0,467.0,38093795.0,nan,1.0,nan,36.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,5,13.0,CELEBRATION,113,1021,10,4-3/4,2 4 4 3 5,1:48.57,28,金禧足球 ,A085,CELEBRATION,----,O'Reilly,One Love,PPG,NZ,5.0,2013-10-16 00:00:00,M Chadwick,5.0,8.0,5.0,9.0,9.0,386.0,28801650.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,30.0,nan
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,6,5.0,LUCKY WIN WIN,128,1210,4,5,6 8 7 9 6,1:48.59,31,勇福星 ,B035,LUCKY WIN WIN,----,Ocean Park,On The Board,PPG,NZ,4.0,2014-08-26 00:00:00,M L Yeung,5.0,4.0,5.0,7.0,8.0,461.0,25206850.0,T P Yung,9.0,7.0,5.0,7.0,6.0,351.0,31432560.0,nan,nan,30.0,43.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,7,1.0,ABOVE,133,1002,8,5-1/4,5 3 2 2 7,1:48.67,14,高瞻遠矚 ,B345,ABOVE,----,Tavistock,Once More,PPG,NZ,3.0,2015-10-14 00:00:00,C Schofield,9.0,7.0,8.0,11.0,8.0,410.0,55103300.0,J Moore,7.0,8.0,7.0,9.0,9.0,498.0,96764400.0,nan,11.0,45.0,36.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,8,14.0,ROCKET GO,111,1168,5,5-3/4,8 1 1 1 8,1:48.74,221,火箭活力 ,A322,ROCKET GO,----,Fastnet Rock,Allez France,ISG,AUS,5.0,2013-10-20 00:00:00,M F Poon,8.0,8.0,11.0,9.0,10.0,454.0,43238600.0,K L Man,5.0,6.0,7.0,7.0,11.0,439.0,27281275.0,nan,2.0,42.0,30.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,9,12.0,ROMANTIC JOURNEY,118,1073,14,7-3/4,12 13 13 11 9,1:49.03,35,醒目快駒 ,B107,ROMANTIC JOURNEY,Kunming,More Than Ready,Perfect Truth,PP,AUS,5.0,2013-09-15 00:00:00,nan,nan,nan,nan,nan,nan,nan,nan,C W Chang,4.0,4.0,9.0,6.0,7.0,356.0,16814650.0,nan,8.0,nan,28.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,10,7.0,KEEP WINNING,128,1115,7,8,4 5 6 8 10,1:49.08,6.6,向前看 ,B331,KEEP WINNING,Hugin,Henrythenavigator,Silver Star,PP,IRE,5.0,2014-05-02 00:00:00,Z Purton,21.0,17.0,10.0,9.0,7.0,635.0,181824240.0,C W Chang,4.0,4.0,9.0,6.0,7.0,356.0,16814650.0,nan,5.0,54.0,28.0
