Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Sex,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,going,class,raceNo,raceCourse,SireRank,DamRank,Win_x,2nd_x,3rd_x,4th_x,5th_x,Total Rides_x,Stakes Won_x,Win_y,2nd_y,3rd_y,4th_y,5th_y,Total Rides_y,Stakes Won_y
1,4/10/7/5/3/3,,MY CHANCE,B214,C Y Ho,,3,K W Lui,59,-1,1114,+34,,4,-,g,262200,+ 1,,Mr & Mrs Charley Chan Wing Chin,Holy Roman Emperor,Many Hearts,PP,133.0,TURF - A Course,1000M,GOOD,Class 4,1,HV,7.0,nan,10.0,0.0,0.0,0.0,0.0,443,$55460740,7.0,0.0,0.0,0.0,0.0,332,$31537875
2,6/4/8/1/6/3,,SUPER LUCKY,A251,C Schofield,,2,C Fownes,58,-1,1201,+11,,5,-,g,685400,1,H/XB,Sidney Leung Kwun Wa,Myboycharlie,Aloha Charm,PP,132.0,TURF - A Course,1000M,GOOD,Class 4,1,HV,6.0,nan,8.0,0.0,0.0,0.0,0.0,341,$42621250,7.0,0.0,0.0,0.0,0.0,383,$41599150
3,10/11/5/11/12/12,,CASIMIRO,C149,T H So,,7,C H Yip,56,-3,1087,+9,0.58.14,5,-,g,48300,1,H,R&S Racing Syndicate,Casamento,Glyndebourne,PP,128.0,TURF - A Course,1000M,GOOD,Class 4,1,HV,12.0,11.0,3.0,0.0,0.0,0.0,0.0,158,$4797125,8.0,0.0,0.0,0.0,0.0,458,$35142225
4,12/2/3/2,,HAINAN STAR,B438,Z Purton,,1,P F Yiu,54,0,1140,+15,,3,-,g,510600,+ 1,CP/TT,Raymond Lee Man Chun,Exceed And Excel,Patronyme,PPG,128.0,TURF - A Course,1000M,GOOD,Class 4,1,HV,5.0,nan,22.0,0.0,0.0,0.0,0.0,525,$184804365,6.0,0.0,0.0,0.0,0.0,346,$31737600
5,2/9,,HONG KONG WIN,C333,J Moreira,,5,J Size,54,+2,1191,-4,0.57.36,3,-,g,202400,1,B,Dr Patrick Ko Tak Him,Mossman,With Apologies,PPG,128.0,TURF - A Course,1000M,GOOD,Class 4,1,HV,9.0,9.0,18.0,0.0,0.0,0.0,0.0,338,$100795525,15.0,0.0,0.0,0.0,0.0,415,$121801450
6,4/4/3/5/11/2,,EVERBRAVE,A364,A Domeyer,,6,K L Man,53,-2,1190,-10,0.57.37,5,-,g,556600,1,,Arthur Wong Chun Mo,Alamosa,Miss Riviera,PP,127.0,TURF - A Course,1000M,GOOD,Class 4,1,HV,7.0,4.0,15.0,0.0,0.0,0.0,0.0,13,$1766400,6.0,0.0,0.0,0.0,0.0,353,$23743655
7,8,,AIOLOS,C040,R Bayliss,,8,W Y So,52,0,1155,-7,0.58.13,3,-,g,0,2,H1/TT1,Timon Tai,Super Easy,Scrutiny,PPG,126.0,TURF - A Course,1000M,GOOD,Class 4,1,HV,13.0,nan,4.0,0.0,0.0,0.0,0.0,114,$6728975,5.0,0.0,0.0,0.0,0.0,417,$29199425
8,11,,BANDY,C282,G van Niekerk,,12,R Gibson,52,0,1033,+10,0.58.09,3,-,g,0,1,H-/CP1,Alan Chan Yau Yuet & Chris Chan Cheong Hoi,Your Song,Spirit Of Rose,PPG,126.0,TURF - A Course,1000M,GOOD,Class 4,1,HV,6.0,11.0,7.0,0.0,0.0,0.0,0.0,322,$32053775,7.0,0.0,0.0,0.0,0.0,337,$41529695
9,8,,COBY WIN,C382,K Teetan,,10,C S Shum,52,0,1134,-11,,3,-,g,0,1,B/TT,Ray Chan Chun Tat,Foxwedge,Flying Mistress,PPG,126.0,TURF - A Course,1000M,GOOD,Class 4,1,HV,8.0,nan,13.0,0.0,0.0,0.0,0.0,555,$95338160,10.0,0.0,0.0,0.0,0.0,396,$45020880
10,12/12/7/1/12/11,,DRAGON DANCE,V409,M L Yeung,,9,Y S Tsui,47,-1,1080,+1,0.57.54,6,-,g,1129300,1,B/TT,Ricky Wong Kin Chat & Helen Leung Yee Wan,Bianconi,Fonteyn Star,PP,119.0,TURF - A Course,1000M,GOOD,Class 4,1,HV,12.0,12.0,5.0,0.0,0.0,0.0,0.0,330,$21071950,8.0,0.0,0.0,0.0,0.0,449,$36322960
11,12/10/6/7/10,,PRAWN YEAH YEAH,B381,H T Mo,,4,R Gibson,44,-2,1148,0,0.58.29,4,-,g,0,2,B/TT,Kevin Lau Yat Sun,Commands,Alamantra,ISG,115.0,TURF - A Course,1000M,GOOD,Class 4,1,HV,8.0,nan,7.0,0.0,0.0,0.0,0.0,309,$25302050,7.0,0.0,0.0,0.0,0.0,337,$41529695
12,7/12/11/14/10,,REGENCY GEM,C035,K C Ng,,11,W Y So,41,-2,1190,-5,0.57.83,4,-,g,0,+ 1,V/TT,Wendy Wong Yin Ting & Owen Cheng Ho Wang,Showcasing,The Myth,PPG,112.0,TURF - A Course,1000M,GOOD,Class 4,1,HV,10.0,12.0,0.0,0.0,0.0,0.0,0.0,74,$1124275,5.0,0.0,0.0,0.0,0.0,417,$29199425
1,6/12/11/12/12/4,,HERO TIME,B010,Z Purton,,12,R Gibson,59,0,1120,+10,1.09.99,5,-,g,82800,+ 1,B/H/XB/TT,Fung Ka Pun & Lucia Fung,Mint Lane,Very Edgy,PPG,133.0,TURF - A Course,1200M,GOOD,Class 4,2,HV,6.0,6.0,22.0,0.0,0.0,0.0,0.0,525,$184804365,7.0,0.0,0.0,0.0,0.0,337,$41529695
2,7/1/8/1/3/8,,ORIENTAL ELITE,A282,C Schofield,,9,P O'Sullivan,59,0,1138,+2,1.09.65,5,-,g,524400,+ 1,,CEO Syndicate,Star Witness,Bail Out,PPG,133.0,TURF - A Course,1200M,GOOD,Class 4,2,HV,6.0,7.0,8.0,0.0,0.0,0.0,0.0,341,$42621250,6.0,0.0,0.0,0.0,0.0,288,$23773460
3,10/4/1/1/8/6,,LONDON MASTER,T345,C Wong,,1,C W Chang,57,0,1065,-18,1.09.61,7,-,g,1361600,+ 1,B/TT,Yau Tim,Commands,Suzy Smart,ISG,126.0,TURF - A Course,1200M,GOOD,Class 4,2,HV,8.0,10.0,12.0,0.0,0.0,0.0,0.0,326,$38085325,4.0,0.0,0.0,0.0,0.0,291,$14110775
4,12/8/11/9/10/9,,CHEEKY BEE,B471,N Callan,,11,D E Ferraris,55,-3,1000,-2,1.10.67,4,-,g,0,+ 1,,Dr & Mrs Gene Tsoi Wai Wang,Niagara,No Reins,PP,129.0,TURF - A Course,1200M,GOOD,Class 4,2,HV,10.0,nan,4.0,0.0,0.0,0.0,0.0,331,$26237400,5.0,0.0,0.0,0.0,0.0,394,$22761940
5,1/4/4/7/10,,LORIZ,C036,K C Leung,,3,P F Yiu,55,+5,1218,+24,1.10.06,3,-,g,634800,1,V,Chan Chi Ho,Smart Missile,Negotiate,PPG,129.0,TURF - A Course,1200M,GOOD,Class 4,2,HV,6.0,1.0,5.0,0.0,0.0,0.0,0.0,380,$35009625,6.0,0.0,0.0,0.0,0.0,346,$31737600
6,2/1/5/10/4/8,,THIS IS CLASS,B420,C Y Ho,,5,K W Lui,55,+2,1148,+12,1.09.88,4,-,g,814200,+ 1,CP/H,Keep-One-Step-Ahead Syndicate,So You Think,Pride Of The Class,PPG,129.0,TURF - A Course,1200M,GOOD,Class 4,2,HV,6.0,2.0,10.0,0.0,0.0,0.0,0.0,443,$55460740,7.0,0.0,0.0,0.0,0.0,332,$31537875
7,13/10/11,,OUR GREEN,B448,H T Mo,,7,C H Yip,52,-3,1189,+80,,4,-,g,0,* 1,B,Evergreen Syndicate,Shamardal,Light And Airy,ISG,123.0,TURF - A Course,1200M,GOOD,Class 4,2,HV,8.0,13.0,7.0,0.0,0.0,0.0,0.0,309,$25302050,8.0,0.0,0.0,0.0,0.0,458,$35142225
8,2/8/8,,MISCHIEVOUS SUNDAE,C016,J Moreira,,10,J Size,51,+1,1043,-13,1.10.92,3,-,g,202400,+ 1,,Equus Syndicate,Sebring,Elsewhere,PPG,125.0,TURF - A Course,1200M,GOOD,Class 4,2,HV,6.0,nan,18.0,0.0,0.0,0.0,0.0,338,$100795525,15.0,0.0,0.0,0.0,0.0,415,$121801450
9,3/2/1/9/5/3,,BULLISH BROTHER,C034,K Teetan,,2,A S Cruz,48,0,1100,-7,1.10.00,3,-,g,839500,1,B/TT,Wong Wing Keung Yeung Yuk Ying & Mary Wong Pak Ka,Reward For Effort,Stream Royale,PPG,122.0,TURF - A Course,1200M,GOOD,Class 4,2,HV,8.0,3.0,13.0,0.0,0.0,0.0,0.0,555,$95338160,10.0,0.0,0.0,0.0,0.0,464,$93973550
10,9/9/6/9/5/6,,GOOD COMPANION,A052,M F Poon,,6,K H Ting,47,-2,1060,-4,1.09.98,6,-,g,138000,+ * 1,B/TT,Joseph Chung,Exceed And Excel,Dyna Slam,PPG,118.0,TURF - A Course,1200M,GOOD,Class 4,2,HV,5.0,9.0,7.0,0.0,0.0,0.0,0.0,389,$35001695,13.0,0.0,0.0,0.0,0.0,248,$24169720
11,9/12/14/8/5/5,,COMPASSION STAR,A121,M L Yeung,,8,K L Man,44,-2,1071,+7,1.10.47,5,-,g,64400,+ 1,B-,Friends of Po Leung Syndicate,Bullbars,Tricilo,PPG,116.0,TURF - A Course,1200M,GOOD,Class 4,2,HV,9.0,9.0,5.0,0.0,0.0,0.0,0.0,330,$21071950,6.0,0.0,0.0,0.0,0.0,353,$23743655
12,2/9/8/4/7/12,,FORMULA GALORE,V011,M Chadwick,,4,C Fownes,41,+2,1089,+3,1.10.08,6,-,g,207000,* 1,TT,Lillian Lee Lai Man,Not A Single Doubt,Evening Pleasures,PPG,115.0,TURF - A Course,1200M,GOOD,Class 4,2,HV,8.0,nan,5.0,0.0,0.0,0.0,0.0,378,$28320850,7.0,0.0,0.0,0.0,0.0,383,$41599150
1,6/2/10/3/5/3,,FEARLESS FIRE,B085,Z Purton,,2,C Fownes,70,0,1153,+19,1.40.09,5,-,g,1193700,* 1,XB,Asther Leung Wing Yi,Acclamation,Pediment,PP,127.0,TURF - A Course,1650M,GOOD,Class 3,3,HV,8.0,6.0,22.0,0.0,0.0,0.0,0.0,525,$184804365,7.0,0.0,0.0,0.0,0.0,383,$41599150
2,6/8/5/11/8/1,,LET'S TAKE IT EASY,A140,T H So,,11,L Ho,70,-2,1022,-1,1.39.51,5,-,g,1076400,+ 1,H/V,Ip Chung Pui Wan,Street Boss,Vogue Beauty,PP,125.0,TURF - A Course,1650M,GOOD,Class 3,3,HV,8.0,6.0,3.0,0.0,0.0,0.0,0.0,158,$4797125,8.0,0.0,0.0,0.0,0.0,351,$28372790
3,11/8/1/7/4/6,,LUCKY GIRL,T355,G van Niekerk,,10,C S Shum,70,0,1226,+28,1.39.59,7,-,g,917700,+ 1,TT,Victor Cheng Hok Hung,Onemorenomore,Bani Yas,PP,127.0,TURF - A Course,1650M,GOOD,Class 3,3,HV,5.0,nan,7.0,0.0,0.0,0.0,0.0,322,$32053775,10.0,0.0,0.0,0.0,0.0,396,$45020880
5,10/9/11/10/4/14,,STAR MAJESTIC,S093,N Callan,,4,P O'Sullivan,70,-2,1130,0,1.39.67,8,-,g,82800,1,B,Glenealy Winner Syndicate,Sakhee's Secret,Dantessa,PPG,127.0,TURF - A Course,1650M,GOOD,Class 3,3,HV,10.0,10.0,4.0,0.0,0.0,0.0,0.0,331,$26237400,6.0,0.0,0.0,0.0,0.0,288,$23773460
6,10/7/13/3/9/10,,XIANG BAI QI,B336,M Chadwick,,6,D E Ferraris,70,-2,995,0,1.41.40,5,-,g,158700,1,,Koo Ming Kown,Azamour,Hassaya,PP,127.0,TURF - A Course,1650M,GOOD,Class 3,3,HV,10.0,10.0,5.0,0.0,0.0,0.0,0.0,378,$28320850,5.0,0.0,0.0,0.0,0.0,394,$22761940
7,9/6/13/9/12/9,,PRETTY BAUHINIA,A135,U Rispoli,,7,Y S Tsui,69,-2,1075,-14,1.39.54,6,-,g,0,+ 1,B,Mr & Mrs Ma Leung,Danzero,Li'l Miss Hayley,PP,126.0,TURF - A Course,1650M,GOOD,Class 3,3,HV,6.0,9.0,6.0,0.0,0.0,0.0,0.0,409,$31165425,8.0,0.0,0.0,0.0,0.0,449,$36322960
8,13/8/6,,UNICORNBABY,C203,R Bayliss,,1,R Gibson,69,-2,1140,+8,,4,-,g,0,+ 1,,Ngai Wing Yin,Dragon Pulse,Clenaghcastle Lady,PP,126.0,TURF - A Course,1650M,GOOD,Class 3,3,HV,13.0,13.0,4.0,0.0,0.0,0.0,0.0,114,$6728975,7.0,0.0,0.0,0.0,0.0,337,$41529695
9,5/2/5/10/11/11,,GOD OF DRAGON,B108,K Teetan,,9,A S Cruz,64,0,1036,+7,1.40.48,4,-,g,400200,+ 1,H/TT,Mark's Friend Syndicate,Red Dazzler,Pardees,PP,121.0,TURF - A Course,1650M,GOOD,Class 3,3,HV,nan,nan,13.0,0.0,0.0,0.0,0.0,555,$95338160,10.0,0.0,0.0,0.0,0.0,464,$93973550
10,14/6/6/1/2/1,,GOOD FIT,S131,M F Poon,,3,F C Lor,61,-1,1174,+5,1.41.38,8,-,g,1807800,+ 1,B/TT,Kevin Kwong Ka Wing Chan Bing Woon Kwong Wai Bong & Michelle Chan Sin Man,Encosta de Lago,Mrs Squillionaire,PPG,115.0,TURF - A Course,1650M,GOOD,Class 3,3,HV,8.0,6.0,7.0,0.0,0.0,0.0,0.0,389,$35001695,15.0,0.0,0.0,0.0,0.0,355,$122571500
11,9/3/5/3/6/3,,LADY FIRST,B013,K C Leung,,5,K H Ting,61,-1,1012,+7,,5,-,g,828000,+ 1,TT,HK Association of Lady Horse Lovers Syndicate,Zacinto,Avoid,PP,118.0,TURF - A Course,1650M,GOOD,Class 3,3,HV,6.0,9.0,5.0,0.0,0.0,0.0,0.0,380,$35009625,13.0,0.0,0.0,0.0,0.0,248,$24169720
12,5/4/4/7/9/4,,WITNESS HUNTER,B421,A Domeyer,1,8,F C Lor,61,-1,1202,+1,1.39.79,3,-,g,1382700,2,B/SR,Winning Team Syndicate,Star Witness,Boldina,PPG,118.0,TURF - A Course,1650M,GOOD,Class 3,3,HV,6.0,nan,15.0,0.0,0.0,0.0,0.0,13,$1766400,15.0,0.0,0.0,0.0,0.0,355,$122571500
1,11/9/7/1/2/8,,CHARITY WINGS,B003,C Wong,,7,C S Shum,59,-1,1100,-6,1.39.64,5,-,g,929200,+ 1,B,Mason Wu Shang Tun Chan Man Hon & Matthew Chan Man Fung,Bel Esprit,Viva Dubai,PPG,128.0,TURF - A Course,1650M,GOOD,Class 4,4,HV,11.0,11.0,12.0,0.0,0.0,0.0,0.0,326,$38085325,10.0,0.0,0.0,0.0,0.0,396,$45020880
2,1/1/8/3/2/5,,HAPPY ROCKY,S147,C Schofield,,11,C W Chang,59,+7,1107,+19,1.40.28,8,-,g,1849200,2,B/TT,Steven Yip Chi Fai,Champs Elysees,Puzzling,PPG,133.0,TURF - A Course,1650M,GOOD,Class 4,4,HV,4.0,nan,8.0,0.0,0.0,0.0,0.0,341,$42621250,4.0,0.0,0.0,0.0,0.0,291,$14110775
3,3/3/9/11/5/7,,NITRO EXPRESS,T353,N Callan,,6,D E Ferraris,58,+1,1188,+4,1.39.50,7,-,g,722200,2,TT,Chow Chu May Ping,Nadeem,Princess Laya,PP,132.0,TURF - A Course,1650M,GOOD,Class 4,4,HV,3.0,3.0,4.0,0.0,0.0,0.0,0.0,331,$26237400,5.0,0.0,0.0,0.0,0.0,394,$22761940
