Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Sex,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,going,class,raceNo,raceCourse,date
1,8/3/7/11/10/6,,SEIZE THE SPIRIT,B030,K Teetan,,4,Y S Tsui,40,-2,1108,-6,1.40.98,4,-,g,105800,+ 1,B,Mr & Mrs Philip N L Chen,Mastercraftsman,Royal Ambition,PPG,133.0,TURF - B Course,1650M,GOOD,Class 5,1,HV,20190522
2,9/9/11/8/11/11,,WICKER,B425,Z Purton,,8,R Gibson,39,-2,1137,-9,1.41.05,3,-,g,0,+ 1,B,Timmy Wong Ka Kit,Ocean Park,Spiriting,PPG,132.0,TURF - B Course,1650M,GOOD,Class 5,1,HV,20190522
3,7/12/11/10/6/8,,OPEN HOUSE,A197,C Y Ho,,7,D J Hall,37,-2,1021,+8,1.40.58,6,-,g,0,+ 1,B,Eric Xu Wei,Vocalised,Christinas Letter,PP,130.0,TURF - B Course,1650M,GOOD,Class 5,1,HV,20190522
4,10/8/10/8/3/6,,LETSGOFREE,T292,T H So,,1,K H Ting,36,-2,957,-10,1.40.21,7,-,g,429640,+ 1,B2,Szeto Yuk Ting,Fast Company,Ramamara,PPG,127.0,TURF - B Course,1650M,GOOD,Class 5,1,HV,20190522
5,3/4/10/10/11/10,,MEGATRON,V119,M Harley,,12,P F Yiu,36,-1,1120,+33,1.39.31,7,-,g,323150,+ 1,V/TT,Tim Chen Chien Yeh,Hard Spun,Fine Jade,PP,129.0,TURF - B Course,1650M,GOOD,Class 5,1,HV,20190522
6,10/9/1/6/2/2,,COME ON WONGCHOY,A285,C Wong,,11,C S Shum,35,0,1035,+31,1.40.74,4,-,g,872850,+ 1,,Lester C H Kwok,Written Tycoon,Hayley's Thunder,PPG,123.0,TURF - B Course,1650M,GOOD,Class 5,1,HV,20190522
7,6/11/13/12/11/10,,SHINING BRIGHT,B297,C Schofield,,3,C W Chang,31,-3,1013,+24,,4,-,g,0,+ 1,B/TT,Susie Wong Li Chia,Zacinto,Muffin Coup,PPG,124.0,TURF - B Course,1650M,GOOD,Class 5,1,HV,20190522
8,11/5/5/9/6/2,,WONDERFUL TIGER,A235,R Bayliss,,10,W Y So,29,-2,1087,-4,1.40.01,5,-,g,351900,* 1,P-/H/XB/TT,Snow White Syndicate,Approve,Cuilaphuca,PP,122.0,TURF - B Course,1650M,GOOD,Class 5,1,HV,20190522
9,6/5/13/11/6/7,,MASTER BERNINI,A174,U Rispoli,,5,D E Ferraris,28,-2,1046,+4,1.40.44,5,-,g,24150,+ 1,B,Three Cheers Syndicate,Bernardini,Montaza,PPG,121.0,TURF - B Course,1650M,GOOD,Class 5,1,HV,20190522
10,1/2/5/6/7/4,,BONITO,V319,G van Niekerk,,6,L Ho,27,+5,1125,-7,1.39.97,6,-,g,610650,+ 1,H/TT,Sin Tung Hing Sin Yuk Lok & Sin Yuk San,O'Reilly,Lafleur,ISG,120.0,TURF - B Course,1650M,GOOD,Class 5,1,HV,20190522
11,3/3/3/4/4/5,,LITTLE FANTASY,T298,J Moreira,2,9,K L Man,19,+1,1219,-14,1.40.75,7,-,g,512325,1,CP/TT,Hong Kong Fantasy Syndicate,Excites,Derrycarna,PP,113.0,TURF - B Course,1650M,GOOD,Class 5,1,HV,20190522
12,7/2/7/12/12/6,,GOBI STORM,A101,M Chadwick,,2,T P Yung,18,0,1175,+31,1.40.34,5,-,g,115575,+ 1,CP/TT,Lunner Club Syndicate,Artie Schiller,Pyrotechnics,PPG,113.0,TURF - B Course,1650M,GOOD,Class 5,1,HV,20190522
1,14/1/5,,E STAR,C132,C Y Ho,,10,K L Man,58,0,1034,-21,,3,-,g,556600,* 2,XB,HKEIA Horse Racing Syndicate,Ferlax,Duck For Cover,PPG,133.0,TURF - B Course,1200M,GOOD,Class 4,2,HV,20190522
2,10/6/10/9/14/12,,THE ABRAXAS,C212,K C Leung,,1,Y S Tsui,56,-3,1178,-27,,4,-,g,0,1,,Joseph Lo Kin Ching & Calvin Lo,Bon Hoffa,Beaten By The Bel,PP,131.0,TURF - B Course,1200M,GOOD,Class 4,2,HV,20190522
3,8/2/12/5/9/3,,SUPER EIGHTEEN,A323,G van Niekerk,,12,A T Millard,55,0,1237,-16,1.10.21,5,-,g,395600,+ 2,B,Tony Lau Yiu Tong & Lau Yi Fai,Casamento,Three Times,ISG,130.0,TURF - B Course,1200M,GOOD,Class 4,2,HV,20190522
4,3/7/7/6/5/14,,CHEER WIN,V347,K Teetan,,2,P F Yiu,54,+1,1101,-8,1.09.66,5,-,g,138000,1,B/TT,Henry Chan Chi Chiu & Chan Chee Ling,Showcasing,Spamalot,PPG,129.0,TURF - B Course,1200M,GOOD,Class 4,2,HV,20190522
5,2/3/10,,LUCKY THOUGHT,C190,Z Purton,,5,C S Shum,54,+2,1093,+5,1.10.01,3,-,g,308200,1,B/TT,Mr & Mrs Patrick Lau Tak Wai and William Lau Man Yuen,Savabeel,Schooner Bay,PPG,129.0,TURF - B Course,1200M,GOOD,Class 4,2,HV,20190522
6,6/12/7/12/10/12,,VERY LUCKY,A380,M F Poon,,6,K W Lui,53,-2,1197,+11,1.11.18,5,-,g,0,1,B,Mr & Mrs Robert Lam Chi Hing,Stryker,Leica Gossip,PP,125.0,TURF - B Course,1200M,GOOD,Class 4,2,HV,20190522
7,-,,DR LUCKY STAR,C335,T H So,,4,D J Hall,52,-,1034,-,,3,-,g,0,* 2,,Reborn Syndicate,Redoute's Choice,Fashion Note,PPG,125.0,TURF - B Course,1200M,GOOD,Class 4,2,HV,20190522
8,3/8/13,,TAKINGUFURTHER,C131,M L Yeung,,3,K H Ting,50,0,1080,+4,1.10.15,4,-,g,105800,1,B-/H/V1/TT-,James Ngai,Exceed And Excel,Thirst,PPG,123.0,TURF - B Course,1200M,GOOD,Class 4,2,HV,20190522
9,3/8/10/8/9,,BLOOMING SPIRIT,C064,U Rispoli,,11,F C Lor,46,0,1131,-17,,3,-,g,105800,1,B/TT,Alfred Leung Woon Fun,Spirit Of Boom,Pheebles,PPG,121.0,TURF - B Course,1200M,GOOD,Class 4,2,HV,20190522
10,9/7/10/5/11,,BRAVE COMMAND,B434,J Moreira,,7,J Size,44,-2,1077,+21,1.10.57,4,-,g,32200,* 1,,The Hon & Mrs Andrew Li Kwok Nang,Commands,Brave And Bold,PPG,119.0,TURF - B Course,1200M,GOOD,Class 4,2,HV,20190522
11,5/9/4/5/7/11,,JUNZI,V274,M Chadwick,,8,W Y So,43,-2,992,-8,1.10.01,6,-,g,644000,+ 1,,Game Genius Syndicate,Red Giant,Quality Dream,PPG,118.0,TURF - B Course,1200M,GOOD,Class 4,2,HV,20190522
12,9/9/4/8/2/8,,HURRICANE HUNTER,A123,H T Mo,,9,C H Yip,41,-2,1121,+3,1.10.82,5,-,g,692300,+ 2,,Alex Chan Cheuk Lun,Darci Brahma,Leigh Valley,PPG,113.0,TURF - B Course,1200M,GOOD,Class 4,2,HV,20190522
1,12/7/4/5/14/9,,GOLD WIN,C139,M Chadwick,,5,A S Cruz,80,-2,1132,-21,,4,-,g,185250,+ 1,CP/TT,Liu Jianming,Showcasing,Schlague,PP,133.0,TURF - B Course,1650M,GOOD,Class 3,3,HV,20190522
2,4/2/1/10/5/1,,RACING LUCK,B223,C Y Ho,,9,K W Lui,77,0,1114,+10,1.39.10,5,-,g,2394300,1,,Racing Spirit Syndicate,Street Cry,Flying Success,PP,130.0,TURF - B Course,1650M,GOOD,Class 3,3,HV,20190522
3,10/14/11/10/5/12,,HANG'S DECISION,T262,K C Ng,,3,W Y So,74,-2,1090,-4,1.40.18,7,-,g,1973400,1,B/H,Wong Yuet Sing & Tony Wong Sze Ho,Postponed,Bislieri,PPG,124.0,TURF - B Course,1650M,GOOD,Class 3,3,HV,20190522
4,6/10/3/11,,XIANG YIN,C265,K Teetan,,4,F C Lor,74,-2,1058,-12,,4,-,g,158700,+ 1,TT1,Yoshifumi Naito,Sixties Icon,La Gifted,PP,127.0,TURF - B Course,1650M,GOOD,Class 3,3,HV,20190522
5,5/13/12/6/1/12,,MAGNIFICENT,C121,H T Mo,,10,L Ho,72,-1,1101,+3,1.39.91,4,-,g,593400,+ 1,,Ting Ping Sing,Zebedee,Barathea Dancer,PP,122.0,TURF - B Course,1650M,GOOD,Class 3,3,HV,20190522
6,7/9/7/13/3/2,,MY ALLY,B261,N Callan,,8,R Gibson,72,-2,1149,0,1.40.32,5,-,g,641700,+ 1,H/XB/TT,Chantilly Buddies Syndicate,Siyouni,Etoile Nocturne,PP,125.0,TURF - B Course,1650M,GOOD,Class 3,3,HV,20190522
7,3/1/5/5/4/9,,BIG BANG BONG,V186,U Rispoli,,6,K H Ting,71,0,1075,-3,1.39.18,6,-,g,1173000,1,TT,Lau Ng Mui Chu,Big Bad Bob,Dreamaway,PP,124.0,TURF - B Course,1650M,GOOD,Class 3,3,HV,20190522
8,2/4/2/3/7/6,,LAST KINGDOM,B203,J Moreira,,11,P O'Sullivan,71,+3,1034,-1,1.39.15,5,-,h,897000,+ 1,XB,Tang Ming Hei,Frankel,Compelling,PP,124.0,TURF - B Course,1650M,GOOD,Class 3,3,HV,20190522
9,7/9/4,,JENERATOR,C302,C Schofield,,1,C Fownes,66,-2,1193,0,,4,-,g,82800,* 1,B,Joe Lee Cho Man,Keeper,Madame Rouge,PP,119.0,TURF - B Course,1650M,GOOD,Class 3,3,HV,20190522
10,11/1/2/7/2/6,,WIN WIN,B472,Z Purton,2,2,T P Yung,65,0,1135,-6,,3,-,g,1131600,+ 1,B,Cheng Ying Yim,Casino Prince,Contented,PPG,118.0,TURF - B Course,1650M,GOOD,Class 3,3,HV,20190522
11,8/10/7/7/5/6,,LUCKY TIME,A045,M F Poon,,7,D J Hall,64,-2,1041,-11,1.39.97,6,-,g,48300,1,B,Barbarian Syndicate,Castledale,Gulfstream,PPG,114.0,TURF - B Course,1650M,GOOD,Class 3,3,HV,20190522
12,6/6/6/3/7/5,,MAGNETISM,V114,G van Niekerk,,12,D E Ferraris,64,-2,1131,-10,1.39.46,7,-,g,207000,+ 1,B/TT,Wong Chung Hin & Arnold Wong Chi Chiu,Monsieur Bond,Midnight Mystique,PP,117.0,TURF - B Course,1650M,GOOD,Class 3,3,HV,20190522
1,2/7,,JUMBO PRIZE,C283,C Y Ho,,4,C Fownes,54,+2,1135,+13,1.09.95,3,-,g,202400,1,,Billy Chan Wing Kwong Billy Chan Chun Kit Kiki Chan Yan Ki & Alison Chan Fong Ki,Your Song,White Diamonds,PPG,127.0,TURF - B Course,1200M,GOOD,Class 4,4,HV,20190522
2,1/5/2/11/4/10,,SUNNY DRAGON,V412,M Chadwick,,3,R Gibson,52,+5,1191,-4,1.09.66,6,-,g,814200,1,CP/TT,Kowloon Tong Club Syndicate,Duporth,Snaps,PP,125.0,TURF - B Course,1200M,GOOD,Class 4,4,HV,20190522
3,7/1/2/1/5/3,,THE SHOW,T256,H T Mo,,7,C H Yip,52,0,1093,+14,1.09.54,8,-,g,1758350,+ 1,B,Lucky Star Syndicate,High Chaparral,The Quarewan,PP,122.0,TURF - B Course,1200M,GOOD,Class 4,4,HV,20190522
