Sire,SireRank
Acclamation,8.0
Air Chief Marshal,8.0
Alamosa,7.0
Alert,5.0
Alfred Nobel,8.0
Align,8.0
All American,3.0
All Too Hard,7.0
American Post,6.0
Anacheeva,5.0
Animal Kingdom,6.0
Approve,11.0
Archipenko,5.0
Artie Schiller,6.0
Azamour,10.0
Bahamian Bounty,3.0
Bated Breath,2.0
Battle Paint,7.0
Bel Esprit,11.0
Bernardini,5.0
Bianconi,12.0
Big Bad Bob,3.0
Blackfriars,2.0
Bon Hoffa,6.0
Born To Sea,4.0
Bullbars,9.0
Burgundy,3.0
California Dane,7.0
Camelot,5.0
Canford Cliffs,12.0
Cape Blanco,6.0
Cape Cross,1.0
Captain Sonador,6.0
Casamento,12.0
Casino Prince,7.0
Castledale,4.0
Champs Elysees,4.0
Charge Forward,3.0
Choisir,12.0
Cityscape,3.0
Clang,12.0
Commands,8.0
Compton Place,7.0
Court Command,5.0
Curved Ball,11.0
Dabirsim,7.0
Daiwa Major,8.0
Dalakhani,13.0
Dane Shadow,4.0
Danehill Dancer,4.0
Danerich,4.0
Dansili,1.0
Danzero,6.0
Darci Brahma,5.0
Dark Angel,5.0
Delago Deluxe,3.0
Delegator,1.0
Denman,5.0
Dissident,5.0
Doctor Dino,1.0
Domesday,3.0
Dr Fong,10.0
Dragon Pulse,13.0
Dream Ahead,6.0
Dreamscape,3.0
Duke Of Marmalade,5.0
Duporth,5.0
Dutch Art,4.0
Dylan Thomas,8.0
Dynasty,2.0
Ekraar,6.0
Elusive City,7.0
Elvstroem,5.0
Elzaam,4.0
Encosta de Lago,8.0
Epaulette,11.0
Equiano,7.0
Exceed And Excel,5.0
Excelebration,7.0
Excites,3.0
Falkirk,4.0
Famous Name,9.0
Fast Company,8.0
Fastnet Rock,5.0
Fath,7.0
Ferlax,14.0
Footstepsinthesand,8.0
Foreplay,6.0
Foxwedge,8.0
Frankel,6.0
Fully Fledged,8.0
Gallant Guru,7.0
Giant's Causeway,7.0
Gimmethegreenlight,10.0
Golden Archer,12.0
Good Journey,4.0
Guillotine,7.0
Haradasun,6.0
Harbinger,6.0
Harbour Watch,8.0
Hard Spun,7.0
Havana Gold,13.0
Heart's Cry,3.0
Helmet,5.0
Henrythenavigator,3.0
Hidden Dragon,7.0
High Chaparral,8.0
Highly Recommended,6.0
Hinchinbrook,5.0
Holy Roman Emperor,7.0
Hurricane Cat,12.0
Husson,4.0
Hussonet,8.0
I Am Invincible,9.0
Iffraaj,7.0
Intikhab,14.0
Invincible Spirit,9.0
Jet Spur,10.0
Jimmy Choux,5.0
Keeper,7.0
Kendargent,6.0
Kodiac,12.0
Kuroshio,5.0
Kyllachy,7.0
Lilbourne Lad,8.0
Lonhro,4.0
Lope de Vega,6.0
Lord Shanakill,12.0
Magic Albert,9.0
Magnus,5.0
Makfi,8.0
Manhattan Rain,5.0
Mastercraftsman,6.0
Mayson,7.0
Medaglia d'Oro,10.0
Mint Lane,6.0
Mizzen Mast,3.0
Monsieur Bond,6.0
More Than Ready,7.0
Moshe,3.0
Mossman,9.0
Motivator,11.0
Murtajill,2.0
Myboycharlie,6.0
Nadeem,3.0
Niagara,10.0
Nicconi,11.0
No Excuse Needed,5.0
Northern Meteor,7.0
Not A Single Doubt,8.0
O'Reilly,6.0
Oamaru Force,4.0
Oasis Dream,8.0
Ocean Park,7.0
Onemorenomore,5.0
Oratorio,5.0
Patapan,2.0
Per Incanto,8.0
Philanthropist,3.0
Pierro,6.0
Pins,6.0
Pluck,12.0
Poet's Voice,10.0
Postponed,5.0
Pour Moi,5.0
Power,8.0
Public Purse,2.0
Purrealist,8.0
Querari,13.0
Racer's Edge,9.0
Rajj,2.0
Raven's Pass,3.0
Reaan,5.0
Red Arrow,3.0
Red Element,4.0
Red Giant,4.0
Redoute's Choice,6.0
Reliable Man,7.0
Requinto,8.0
Reset,8.0
Reward For Effort,8.0
Rip Van Winkle,4.0
Road To Rock,1.0
Roderic O'Connor,6.0
Rothesay,1.0
Royal Applause,12.0
Sakhee's Secret,10.0
Savabeel,6.0
Scat Daddy,3.0
Sebring,6.0
Sepoy,11.0
Sequalo,5.0
Shakespearean,2.0
Shamardal,8.0
Shamexpress,9.0
Shocking,9.0
Show A Heart,5.0
Showcasing,10.0
Sidereus,10.0
Silvano,4.0
Sir Prancealot,2.0
Sixties Icon,6.0
Siyouni,8.0
Slade Power,6.0
Smart Missile,6.0
Snippetson,4.0
Snitzel,6.0
So You Think,6.0
Society Rock,10.0
Soldier Hollow,12.0
Soldier Of Fortune,10.0
Spring At Last,9.0
Star Witness,6.0
Starcraft,8.0
Starspangledbanner,7.0
Statue Of Liberty,6.0
Stay Gold,1.0
Strategic,6.0
Stratum,4.0
Stravinsky,4.0
Street Boss,8.0
Street Cry,5.0
Street Sense,1.0
Stryker,8.0
Sufficient,9.0
Super Easy,13.0
Sweet Orange,4.0
Swiss Ace,5.0
Tale Of The Cat,7.0
Tavistock,8.0
Teofilo,8.0
Testa Rossa,6.0
The Factor,2.0
Thewayyouare,7.0
Thorn Park,7.0
Tickets,6.0
Tiger Prawn,12.0
Toorak Toff,2.0
Towkay,4.0
Trippi,9.0
Tycoon Ruler,8.0
Unencumbered,4.0
Var,10.0
Virtual,7.0
Vocalised,8.0
Volksraad,7.0
Wanted,4.0
War Front,13.0
Written Tycoon,6.0
Xtension,6.0
Yes It's True,8.0
Your Song,6.0
Zabeel,7.0
Zacinto,6.0
Zebedee,6.0
Zoffany,6.0
