date,raceNo,horseNo,odds,plc,Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,Gear_1,Gear_2,Gear_3,Gear_4,B,H,TT,CP,V,XB,SR,P,PC,E,BO,PS,SB,Sex_c,Sex_f,Sex_g,Sex_h,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,horseRank,SireRank,DamRank,JockeyRank,TrainerRank,HorseMatchRank
20180902.0,2.0,4.0,6.7,10.0,4.0,8/4/6/14/2/3,nan,BEST EFFORT,T220,M L Yeung,nan,7.0,C Fownes,34,-4,980.0,-4,1.35.10,7.0,-,855600.0,+ 1,E-/PC-/XB-,Poon Tit Man,Cape Cross,Chinese White,PP,118.0,TURF - B Course,1600M,5,8,4,6,14,2,3,nan,nan,nan,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.21875,0.27586206896551724,2.5
20180902.0,2.0,9.0,11.0,9.0,9.0,3/9/14/4/11/1,nan,WONDERFUL CHASER,V258,G van Niekerk,nan,6.0,K W Lui,33,0,1158.0,+6,1.34.86,6.0,-,158700.0,+ 1,nan,Yeung Lin Kar Yeung Lei Sha & Sam Yeung Wai Shing,Not A Single Doubt,Leisure Pass,PPG,119.0,TURF - B Course,1600M,5,3,9,14,4,11,1,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1.0,4.0,1.0,0.2504145936981757,0.2413793103448276,7.5
20180902.0,2.0,5.0,20.0,8.0,5.0,7/8/11/7/4/5,nan,SUNNY ORIENT,V302,C Murray,nan,8.0,A T Millard,34,+14,1151.0,+2,nan,6.0,-,338100.0,1,nan,James Chan Shiu On Joseph Chan Ho Lim Janet Chan Ng Chee Tung & Wendy Chan Wing Kei,Written Tycoon,Dellwood Diva,PP,120.0,TURF - B Course,1600M,5,7,8,11,7,4,5,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.2504145936981758,1.0,0.9253731343283582,0.2504145936981757,0.46153846153846156,6.686567164179104
20180902.0,2.0,1.0,30.0,7.0,1.0,12/4/2/12/4/2,nan,TRIUMPHANT LIGHT,T224,N Callan,nan,5.0,D E Ferraris,39,+11,1060.0,-12,1.34.89,8.0,-,231150.0,+ 1,TT,Mr & Mrs Julian Chow Kai Wo Chow Wing Shuen and Chow Cheuk Wai,Alamosa,Bexley,PP,125.0,TURF - B Course,1600M,5,12,4,2,12,4,2,TT,None,None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.2,1.0,1.0,0.05,0.2894736842105263,5.0
20180902.0,2.0,3.0,14.0,6.0,3.0,5/10/10/12/11/5,nan,PROUD SKY,V406,K Teetan,nan,3.0,L Ho,35,+5,1070.0,+12,1.35.50,5.0,-,583050.0,1,B-,Francis Wong Shing Yick & Raymond Wong Kai Yuen,Acclamation,Claiomh Solais,PP,121.0,TURF - B Course,1600M,5,5,10,10,12,11,5,nan,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.47619047619047616,0.18518518518518517,2.5
20180902.0,2.0,2.0,21.0,5.0,2.0,11/9/9/2/4/3,nan,KWAICHUNG BROTHERS,A012,K C Leung,nan,9.0,R Gibson,35,-1,1165.0,-4,1.35.61,6.0,-,500250.0,1,XB,Rotary Club of Kwai Chung Syndicate,Racer's Edge,Shezgonewest,PPG,121.0,TURF - B Course,1600M,5,11,9,9,2,4,3,XB,None,None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1.0,1.0,1.0,0.14285714285714285,0.46153846153846156,7.5
20180902.0,2.0,7.0,23.0,4.0,7.0,13/11/12/11/7/6,nan,LUCKY STORM,B124,H T Mo,nan,10.0,C S Shum,33,+7,1134.0,+33,nan,5.0,-,434700.0,1,H-/B1/TT1,Adrian Pang Hau Shu Patrick Chow Lap Kwok Dr Lam Kai Cheong & Matthew Kwan Ming Kin,Red Arrow,Eurostorm,PPG,114.0,TURF - B Course,1600M,5,13,11,12,11,7,6,nan,nan,nan,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.2504145936981758,2.48424543946932,0.9253731343283582,0.08333333333333333,0.2857142857142857,6.686567164179104
20180902.0,2.0,10.0,8.4,3.0,10.0,6/5/3/9/6/6,nan,THE SHOW,T256,U Rispoli,nan,2.0,C H Yip,32,-20,1086.0,-2,1.33.72,8.0,-,1758350.0,1,V-/B2,Lucky Star Syndicate,High Chaparral,The Quarewan,PP,118.0,TURF - B Course,1600M,5,6,5,3,9,6,6,nan,nan,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.25,4.0,1.0,0.11538461538461539,0.17777777777777778,6.0
20180902.0,2.0,8.0,2.4,2.0,8.0,4/13/6/10/8/8,nan,SPORTS MASTER,A311,Z Purton,1,4.0,P F Yiu,33,-5,1160.0,+15,1.36.13,5.0,-,496800.0,+ 1,B/E,Sports Club Syndicate,Magic Albert,Judicial Queen,ISG,119.0,TURF - B Course,1600M,5,4,13,6,10,8,8,B,E,None,None,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.5,0.38461538461538464,2.5
20180902.0,2.0,6.0,5.1,1.0,6.0,2/1/5/8/6/8,nan,LE PANACHE,V369,D Whyte,nan,1.0,T P Yung,33,-12,1088.0,+12,1.36.67,5.0,-,1228200.0,+ 1,B,Kok Jian Pei,Acclamation,Heavens Peak,PP,119.0,TURF - B Course,1600M,5,2,1,5,8,6,8,B,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.04,0.125,2.5
