date,raceNo,horseNo,odds,plc,Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,Gear_1,Gear_2,Gear_3,Gear_4,B,H,TT,CP,V,XB,SR,P,PC,E,BO,SB,PS,Sex_c,Sex_f,Sex_g,Sex_h,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,horseRank,SireRank,DamRank,JockeyRank,TrainerRank,HorseMatchRank
20180905.0,7.0,3.0,13.0,11.0,3.0,9/6/3/10/7/8,nan,LUCKY GIRL,T355,A Sanna,nan,6.0,C S Shum,75,+5,1205.0,-15,1.39.59,7.0,-,1704300.0,1,nan,Victor Cheng Hok Hung,Onemorenomore,Bani Yas,PP,128.0,TURF - B Course,1650M,3,9,6,3,10,7,8,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.42857142857142855,5.0,3.0,0.1111111111111111,0.3230769230769231,6.0
20180905.0,7.0,11.0,33.0,10.0,11.0,12/9/9/8/7/1,nan,HO HO FEEL,T029,W M Lai,nan,3.0,C H Yip,61,+4,1166.0,+6,1.40.66,7.0,-,963700.0,+ 1,H/XB,Simon Tam Ngak Chou & Tam Hin Chi,Henrythenavigator,Minnie Deal,PPG,114.0,TURF - B Course,1650M,3,12,9,9,8,7,1,H,XB,None,None,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.0,1.0,0.0,0.1509433962264151,0.15151515151515152,2.0
20180905.0,7.0,7.0,11.0,9.0,7.0,5/1/1/1/8/14,nan,MULTIGOGO,A204,H N Wong,nan,10.0,A S Cruz,67,+19,1129.0,+10,1.40.22,5.0,-,0.0,+ 1,H/TT,Lyraa Ng Yin Mui,Drumbeats,Lights Off,PPG,117.0,TURF - B Course,1650M,3,5,1,1,1,8,14,H,TT,None,None,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.8,4.0,4.0,0.2553191489361702,0.36486486486486486,8.0
20180905.0,7.0,6.0,37.0,8.0,6.0,11/9/9/10/4/12,nan,HAPPY SPIRIT,V008,M F Poon,nan,4.0,K L Man,68,+6,1113.0,-12,1.39.72,7.0,-,82800.0,+ 1,B/TT,Edward Chan Kwok Man & Karen Chan Ka Yin,Holy Roman Emperor,Nanosecond,PPG,116.0,TURF - B Course,1650M,3,11,9,9,10,4,12,B,TT,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.0,5.0,0.0,0.3392857142857143,0.05357142857142857,2.0
20180905.0,7.0,4.0,12.0,7.0,4.0,6/5/5/4/8/12,nan,GOLDFIELD,A396,C Murray,nan,5.0,R Gibson,69,+2,1044.0,+1,1.40.08,5.0,-,462300.0,1,B/H/TT,Yue Yun Hing,Heliostatic,Heaven To Sally,PP,122.0,TURF - B Course,1650M,3,6,5,5,4,8,12,B,H,TT,None,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.25880281690140733,0.25,2.0
20180905.0,7.0,5.0,17.0,6.0,5.0,7/7/5/1/3/8,nan,HAPPY LIFE,V134,K C Leung,nan,9.0,L Ho,68,+1,1059.0,+8,1.39.15,7.0,-,0.0,1,H/TT2,Johnny Cheung Shun Yee,Mossman,Mill Bridge,PP,121.0,TURF - B Course,1650M,3,7,7,5,1,3,8,H,nan,None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.2588028169014083,0.0,1.4867957746478873,0.265625,0.27586206896551724,6.335387323943662
20180905.0,7.0,1.0,11.0,5.0,1.0,1/2/5/3/8/8,nan,THUNDER STOMP,V279,M L Yeung,nan,1.0,Y S Tsui,80,+13,1214.0,+12,1.39.37,6.0,-,303600.0,1,B,Pui Kwan Kay & Raymond Chu Yuet Chung,Fastnet Rock,Queen Of Troy,PP,131.0,TURF - B Course,1650M,3,1,2,5,3,8,8,B,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.38461538461538464,11.0,5.0,0.09090909090909091,0.4,5.0
20180905.0,7.0,10.0,21.0,4.0,10.0,10/2/3/4/5/10,nan,MCQUEEN,V013,G van Niekerk,nan,11.0,D E Ferraris,62,+8,1084.0,-4,1.41.13,7.0,-,241500.0,1,nan,Win Forever Syndicate,Alamosa,Creil,PP,115.0,TURF - B Course,1650M,3,10,2,3,4,5,10,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.2588028169014083,2.0,1.4867957746478873,0.25880281690140733,0.3013698630136986,6.335387323943662
20180905.0,7.0,2.0,6.7,3.0,2.0,2/1/6/11/6/4,nan,LAND GRANT,V131,C Wong,nan,7.0,A T Millard,75,-3,1117.0,-9,1.39.62,7.0,-,945300.0,1,V-/XB/B2,Patrick Ting Siu Yin,High Chaparral,Cashier,PP,118.0,TURF - B Course,1650M,3,2,1,6,11,6,4,nan,XB,nan,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.25,5.0,1.0,0.5384615384615384,0.3902439024390244,4.0
20180905.0,7.0,9.0,13.0,2.0,9.0,7/1/4/4/7/11,nan,CLOUD NINE,T416,K Teetan,nan,2.0,A T Millard,62,-3,1120.0,-1,nan,6.0,-,607200.0,2,V/XB,Tony Yue Kwok Leung Alexander Yue Ka Kuen & Richard Yue Ka Ming,Tapit,Dress Rehearsal,PP,115.0,TURF - B Course,1650M,3,7,1,4,4,7,11,V,XB,None,None,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.2588028169014083,3.2684859154929575,1.4867957746478873,0.30158730158730157,0.3902439024390244,6.335387323943662
