date,raceNo,horseNo,odds,plc,Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,Gear_1,Gear_2,Gear_3,Gear_4,Gear_5,B,H,TT,CP,V,XB,SR,P,PC,E,BO,PS,SB,Sex_c,Sex_f,Sex_g,Sex_h,Sex_m,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,horseRank,SireRank,DamRank,JockeyRank,TrainerRank,HorseMatchRank
20180107.0,8.0,7.0,14.0,12.0,7.0,6/6/11/11/10/6,nan,SHANGHAI MASTER,A337,C Y Ho,nan,8.0,K W Lui,71,-3,1156.0,+6,1.09.46,4.0,-,1552350.0,+ 1,CP/TT,Perfect Bonding Syndicate,More Than Ready,Rose Of Hallowell,PP,122.0,TURF - C Course,1200M,3,6,6,11,11,10,6,CP,TT,None,None,nan,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0,2.0,0.0,0.12650602409638553,0.3150684931506849,2.5
20180107.0,8.0,9.0,76.0,11.0,9.0,13/11/7/8/7/11,nan,DOUBLE VALENTINE,A163,A Sanna,nan,9.0,A S Cruz,66,+5,1116.0,+7,1.10.80,4.0,-,1388600.0,+ 1,B/TT,Kenneth Shi Ho Ming,Exchange Rate,Ruby's Realm,PP,119.0,TURF - C Course,1200M,3,13,11,7,8,7,11,B,TT,None,None,nan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.15384615384615385,0.2222222222222222,2.5
20180107.0,8.0,5.0,20.0,10.0,5.0,-,nan,MICKEY RICH,B151,P-C Boudot,nan,10.0,P F Yiu,72,+14,1095.0,0,nan,4.0,-,45850.0,* 1,nan,Mr & Mrs Hui Yuk Hon,Sepoy,Pivotal Drive,PP,125.0,TURF - C Course,1200M,3,6.7237132933375205,6.675307411100053,6.564623467600748,6.5360559234730395,6.447611710323523,6.440471353108529,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.24822064056939647,0.0,1.8383748517200476,0.24822064056939228,0.32857142857142857,6.597271648873073
20180107.0,8.0,8.0,11.0,9.0,8.0,1/12/7/2/5/11,nan,VICTORY MACHINE,V358,T Berry,nan,5.0,J Moore,68,-9,1044.0,-31,1.09.44,5.0,-,1444800.0,+ 1,B/TT,See Wai Keung,Redoute's Choice,Rekindled Applause,PP,121.0,TURF - C Course,1200M,3,1,12,7,2,5,11,B,TT,None,None,nan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.2222222222222222,2.0,2.0,0.24444444444444444,0.25196850393700787,6.0
20180107.0,8.0,10.0,7.7,8.0,10.0,5/5/11/4/1/2,nan,STARSHIP,V379,C Schofield,nan,4.0,P O'Sullivan,66,0,1134.0,-9,1.09.24,5.0,-,881500.0,+ 1,B,David Sin Wai Kin,Husson,Ourkohinoor,PP,119.0,TURF - C Course,1200M,3,5,5,11,4,1,2,B,None,None,None,nan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.42857142857142855,6.0,3.0,0.19148936170212766,0.3105590062111801,8.0
20180107.0,8.0,6.0,15.0,7.0,6.0,4/11,nan,EVERBRAVE,A364,N Rawiller,nan,6.0,K L Man,71,+18,1221.0,-15,1.10.05,4.0,-,491250.0,+ 1,nan,Mr & Mrs Arthur Wong Chun Mo,Alamosa,Miss Riviera,PP,124.0,TURF - C Course,1200M,3,4,11,6.564623467600748,6.5360559234730395,6.447611710323523,6.440471353108529,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0,3.0,0.0,0.30434782608695654,0.18556701030927836,2.5
20180107.0,8.0,4.0,27.0,6.0,4.0,8/3/10/5/10/7,nan,GOLDEN HARVEST,N236,K C Leung,nan,1.0,A T Millard,73,+4,1192.0,+4,1.08.37,9.0,-,150650.0,+ 1,TT,Wong Kwok Keung,Al Maher,Marzipan,PPG,124.0,TURF - C Course,1200M,3,8,3,10,5,10,7,TT,None,None,None,nan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.2857142857142857,6.0,2.0,0.23497267759562843,0.17757009345794392,7.0
20180107.0,8.0,3.0,37.0,5.0,3.0,7/14/6/8/7,nan,SLEEP EDUCATION,A362,K Teetan,nan,11.0,D E Ferraris,74,+17,1006.0,0,1.09.75,5.0,-,576400.0,+ 1,nan,David Hui Cheung Wing,Visionaire,Sweet Virginia,PP,127.0,TURF - C Course,1200M,3,7,14,6,8,7,6.440471353108529,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.24761904761904763,0.2564102564102564,2.5
20180107.0,8.0,2.0,10.0,4.0,2.0,7/1/9/13/7/7,nan,SIR REDALOT,A196,S Clipperton,nan,3.0,J Size,74,+2,994.0,+2,nan,4.0,-,1906050.0,1,nan,The Hon Ronald Arculli GBM GBS JP & Johanna K J Arculli BBS,Sir Prancealot,Spring Crocus,PP,127.0,TURF - C Course,1200M,3,7,1,9,13,7,7,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.5,1.0,1.0,0.2356687898089172,0.3772455089820359,9.0
20180107.0,8.0,1.0,127.0,3.0,1.0,8,nan,BIZ POWER,B052,D Whyte,nan,12.0,M J Freedman,80,+9,1061.0,-5,nan,4.0,-,196500.0,+ 1,nan,Leo Racing Syndicate,Power,Biz Bar,PP,133.0,TURF - C Course,1200M,3,8,6.675307411100053,6.564623467600748,6.5360559234730395,6.447611710323523,6.440471353108529,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.24822064056939647,7.406880189798339,1.8383748517200476,0.25925925925925924,0.2,6.597271648873073
