date,raceNo,horseNo,odds,plc,Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,Gear_1,Gear_2,Gear_3,Gear_4,Gear_5,B,H,TT,CP,V,XB,SR,P,PC,E,BO,SB,PS,Sex_c,Sex_f,Sex_g,Sex_h,Sex_m,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET FAST,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,horseRank,SireRank,DamRank,JockeyRank,TrainerRank,HorseMatchRank
20180902.0,10.0,4.0,123.0,13.0,4.0,11/10/9/13/6/14,nan,SHAMAL,V290,K C Ng,nan,11.0,Y S Tsui,88,+5,1193.0,+1,1.21.91,6.0,-,0.0,2,P-/SR2,Cheuk Hon Kit Chung Tai Keung Roland Leung Wing Cheung & Cheuk Lit Piu,Siyouni,Sagalix,PP,119.0,TURF - B Course,1400M,2,11,10,9,13,6,14,nan,nan,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.16666666666666666,1.0,1.0,0.023076923076923078,0.20522388059701493,4.0
20180902.0,10.0,7.0,18.0,12.0,7.0,11,nan,BEAUTY SPIRIT,B409,Z Purton,1,6.0,A S Cruz,85,0,1283.0,+14,nan,4.0,-,1565250.0,1,TT,Kwok Siu Ming,Duporth,Graces Spirit,PP,119.0,TURF - B Course,1400M,2,11,6.6892534474560605,6.67595642259932,6.675155784340404,6.657052206518754,6.618059792556327,TT,None,None,None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.22666087711680427,19.0,2.1493703864524534,0.39768339768339767,0.2727272727272727,7.192574902301346
20180902.0,10.0,12.0,141.0,11.0,12.0,12/7/10/5/4/5,nan,KING GENKI,V181,H N Wong,nan,12.0,A S Cruz,82,-10,1266.0,+8,1.22.66,6.0,-,2835750.0,4,TT,Chu Nin Yiu,Arcano,Celestina Agostino,PP,113.0,TURF - B Course,1400M,2,12,7,10,5,4,5,TT,None,None,None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,3.0,0.0,0.10119047619047619,0.2727272727272727,2.0
20180902.0,10.0,11.0,91.0,10.0,11.0,5/5/4/10/8/5,nan,BLOCKER DEE,T374,M Chadwick,nan,9.0,C Fownes,82,+10,1239.0,+2,nan,7.0,-,207000.0,2,V/TT,Mr & Mrs Kenneth Au-Yeung Wing,Hidden Dragon,Tycoon Rhythm,PP,116.0,TURF - B Course,1400M,2,5,5,4,10,8,5,V,TT,None,None,None,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.22666087711680427,0.0,2.1493703864524534,0.13815789473684212,0.13725490196078433,7.192574902301346
20180902.0,10.0,3.0,7.2,9.0,3.0,2/8/5/7/13/12,nan,RIVET,B088,K Teetan,nan,2.0,J Moore,93,0,1067.0,-9,1.21.91,4.0,-,429000.0,1,B/TT-,Peter Law Kin Sang,Fastnet Rock,Starship,PP,127.0,TURF - B Course,1400M,2,2,8,5,7,13,12,B,nan,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,15.0,6.0,0.2773722627737226,0.3014705882352941,2.0
20180902.0,10.0,8.0,7.0,8.0,8.0,1/5/2/2/10/10,nan,CALIFORNIA JOY,T406,M F Poon,nan,1.0,A S Cruz,85,-1,1182.0,-4,1.21.93,6.0,-,117000.0,2,B/TT,Howard Liang Yum Shing,Fastnet Rock,Laetitia,PPG,114.0,TURF - B Course,1400M,2,1,5,2,2,10,10,B,TT,None,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.3333333333333333,15.0,3.0,0.24390243902439024,0.2727272727272727,5.5
20180902.0,10.0,13.0,8.8,7.0,13.0,2/3/4/7/12/12,nan,BOMBAY BLITZ,A338,M L Yeung,nan,5.0,C Fownes,81,+1,1106.0,-6,1.21.49,5.0,-,0.0,1,B,Ranjan Tikam Mahtani,Snitzel,Covertly,PP,113.0,TURF - B Course,1400M,2,2,3,4,7,12,12,B,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.6666666666666666,8.0,2.0,0.15025906735751296,0.13725490196078433,8.0
20180902.0,10.0,5.0,8.3,6.0,5.0,4/2/9/3/3/3,nan,DRAGON GENERAL,T400,K C Leung,nan,3.0,Y S Tsui,87,-6,1096.0,-1,1.22.08,7.0,-,1862250.0,1,TT,Au Kai Kwong Michael H C Au & Michelle Jessica Au,Reaan,Grey Deceiver,PP,121.0,TURF - B Course,1400M,2,4,2,9,3,3,3,TT,None,None,None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.1759656652360515,0.20522388059701493,2.0
20180902.0,10.0,9.0,19.0,5.0,9.0,9/7/3/2/1/10,nan,CIRCUIT HASSLER,A041,C Y Ho,nan,8.0,A S Cruz,83,+19,1186.0,+10,1.20.67,6.0,-,199350.0,3,B/H/TT,Chan Wing Kwan Chang Wing Yiu & Cheung Kwok Wa,Shocking,Zaquabeel,PP,115.0,TURF - B Course,1400M,2,9,7,3,2,1,10,B,H,TT,None,None,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.75,11.0,3.0,0.14225941422594143,0.2727272727272727,9.0
20180902.0,10.0,6.0,40.0,4.0,6.0,-,nan,HARMONY VICTORY,B405,U Rispoli,nan,4.0,C S Shum,86,-6,1093.0,0,nan,4.0,-,2144000.0,1,H1/SR1/TT1,Yue Yun Hing,Public Purse,Flower Fest,PP,120.0,TURF - B Course,1400M,2,6.7537112010796205,6.6892534474560605,6.67595642259932,6.675155784340404,6.657052206518754,6.618059792556327,nan,nan,nan,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.22666087711680427,8.516066000868433,2.1493703864524534,0.2116788321167883,0.2236842105263158,7.192574902301346
