Draw,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Age,Season Stakes,AWT,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,B,H,TT,CP,V,XB,SR,P,PC,E,BO,PS,SB,Sex_c,Sex_f,Sex_g,Sex_h,Sex_m,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,SireRank,DamRank,horseRank,HorseMatchRank,JockeyRank,TrainerRank
1.0,94.0,14.0,1104.0,-7.0,4.0,0.0,128.0,2.0,9.0,13.0,4.0,8.0,7.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.5,0.2736842105263158,0.18333333333333332
2.0,83.0,-6.0,1053.0,1.0,5.0,1150200.0,117.0,2.0,7.0,11.0,5.0,7.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.5,0.2717391304347826,0.2558139534883721
3.0,92.0,11.0,1069.0,-32.0,5.0,1071550.0,126.0,2.0,3.0,10.0,3.0,5.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,0.35344827586206895,0.18085106382978725
9.0,85.0,-6.0,1098.0,5.0,4.0,1907500.0,119.0,2.0,5.0,7.0,11.0,3.0,12.0,6.684531886024423,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,4.5,0.15,0.2966101694915254
11.0,88.0,-5.0,1146.0,-27.0,8.0,997500.0,122.0,2.0,5.0,10.0,6.0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.5,0.22641509433962265,0.18181818181818182
4.0,81.0,13.0,1074.0,8.0,5.0,994175.0,113.0,2.0,6.0,2.0,4.0,8.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.5,0.21052631578947367,0.1891891891891892
12.0,87.0,-2.0,1093.0,-1.0,5.0,1438125.0,114.0,2.0,1.0,2.0,6.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,0.08196721311475409,0.2248062015503876
13.0,83.0,19.0,1207.0,-16.0,6.0,490000.0,117.0,2.0,2.0,5.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.3333333333333333,12.5,0.078125,0.14150943396226415
8.0,83.0,29.0,1109.0,7.0,4.0,185250.0,117.0,2.0,3.0,8.0,8.0,13.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.5,0.16822429906542055,0.24060150375939848
10.0,83.0,9.0,1152.0,45.0,7.0,1184600.0,115.0,2.0,9.0,11.0,7.0,2.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.125,9.0,0.12745098039215685,0.12087912087912088
5.0,81.0,-6.0,1067.0,17.0,5.0,2506450.0,113.0,2.0,5.0,6.6278944534194935,1.0,5.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.2857142857142857,10.0,0.08888888888888889,0.22988505747126436
6.0,87.0,-2.0,1201.0,8.0,5.0,1137500.0,121.0,2.0,2.0,5.0,3.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.3333333333333333,12.5,0.2911392405063291,0.16326530612244897
