B,H,TT,CP,V,XB,SR,P,PC,E,BO,PS,SB,Sex_c,Sex_f,Sex_g,Sex_h,Sex_r,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_YIELDING,raceCourse_HV,raceCourse_ST,Runs_6,Runs_5,Runs_4,Runs_3,Runs_2,Runs_1,TrainerRank,SireRank,horseRank,JockeyRank,Draw,Rtg.+/-,AWT,class,DamRank,HorseMatchRank,Age,Horse Wt. (Declaration),Wt.+/- (vs Declaration)
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,5.0,13.0,14.0,11.0,12.0,0.2564102564102564,0.0,0.0,0.18604651162790697,2.0,3.0,131.0,3.0,0.0,3.0,5.0,1304.0,28.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,5.0,1.0,4.0,11.0,1.0,0.2564102564102564,1.0,0.0,0.3924050632911392,7.0,8.0,123.0,3.0,0.0,3.0,5.0,1134.0,3.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.764367816091954,6.612570356472795,6.5893675527039415,6.6889089269612265,6.613737734165923,13.0,0.15625,0.0,0.0,0.23076923076923078,10.0,14.0,126.0,3.0,0.0,3.0,4.0,1154.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,7.0,2.0,6.0,11.0,0.34545454545454546,5.0,0.3333333333333333,0.3064516129032258,11.0,1.0,121.0,3.0,2.0,8.0,5.0,1157.0,15.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.764367816091954,6.612570356472795,6.5893675527039415,6.6889089269612265,4.0,8.0,0.3333333333333333,4.0,0.5,0.16216216216216217,5.0,2.0,125.0,3.0,4.0,10.0,3.0,1050.0,16.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,11.0,10.0,11.0,1.0,7.0,0.15151515151515152,0.0,0.0,0.24324324324324326,1.0,17.0,116.0,3.0,0.0,3.0,7.0,1177.0,7.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,13.0,11.0,10.0,5.0,10.0,0.05357142857142857,7.0,0.1,0.2553191489361702,8.0,17.0,110.0,3.0,1.0,6.0,6.0,1032.0,10.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.764367816091954,6.612570356472795,6.5893675527039415,7.0,5.0,7.0,0.19047619047619047,0.0,0.0,0.06896551724137931,6.0,5.0,130.0,3.0,0.0,3.0,4.0,1076.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,2.0,2.0,2.0,1.0,0.2222222222222222,2.0,0.2857142857142857,0.3392857142857143,12.0,6.0,112.0,3.0,2.0,7.0,7.0,1186.0,11.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,2.0,2.0,1.0,4.0,0.3013698630136986,5.0,0.5555555555555556,0.30158730158730157,4.0,6.0,122.0,3.0,5.0,11.0,6.0,1134.0,-7.0
