date,raceCourse,raceNo,going,raceName,road,money,class,dist,plc,horseNo,horseName,jockey,trainer,awt,dhw,draw,lbw,runPos,finishTime,odds
2019/05/26,ST,1,GOOD,LIBERATOR PLATE,TURF - "A" Course,850000,Griffin Race,1200M,1,7,AETHERO(C336),Z Purton,J Moore,127,1227,3,-,1 1 1,1:10.11,1
2019/05/26,ST,1,GOOD,LIBERATOR PLATE,TURF - "A" Course,850000,Griffin Race,1200M,2,2,FARHH ABOVE(C148),C Y Ho,K W Lui,129,1062,6,3-1/4,9 7 2,1:10.61,76
2019/05/26,ST,1,GOOD,LIBERATOR PLATE,TURF - "A" Course,850000,Griffin Race,1200M,3,9,JUDY'S STAR(C311),J Moreira,P O'Sullivan,120,1133,5,3-1/4,5 4 3,1:10.62,9.9
2019/05/26,ST,1,GOOD,LIBERATOR PLATE,TURF - "A" Course,850000,Griffin Race,1200M,4,3,SHADOW BREAKER(C268),K H Chan,C W Chang,119,1006,7,5-1/2,6 5 4,1:11.00,41
2019/05/26,ST,1,GOOD,LIBERATOR PLATE,TURF - "A" Course,850000,Griffin Race,1200M,5,4,SPARKLING KNIGHT(C201),C Schofield,Y S Tsui,129,1167,8,8-3/4,10 9 5,1:11.53,58
2019/05/26,ST,1,GOOD,LIBERATOR PLATE,TURF - "A" Course,850000,Griffin Race,1200M,6,10,U W BROTHER(C389),K C Leung,Y S Tsui,120,1118,2,9-3/4,3 3 6,1:11.66,49
2019/05/26,ST,1,GOOD,LIBERATOR PLATE,TURF - "A" Course,850000,Griffin Race,1200M,7,5,TARGET FINDER(C154),N Callan,C W Chang,129,1052,9,17,4 6 7,1:12.82,46
2019/05/26,ST,1,GOOD,LIBERATOR PLATE,TURF - "A" Course,850000,Griffin Race,1200M,8,6,UNEXPECTED(C147),M L Yeung,T P Yung,127,1109,1,19-1/4,7 8 8,1:13.21,94
2019/05/26,ST,1,GOOD,LIBERATOR PLATE,TURF - "A" Course,850000,Griffin Race,1200M,9,8,JOY AVENUE(C340),G van Niekerk,C H Yip,120,1172,10,20-1/2,2 2 9,1:13.39,25
2019/05/26,ST,1,GOOD,LIBERATOR PLATE,TURF - "A" Course,850000,Griffin Race,1200M,10,1,COPARTNER(C157),R Bayliss,W Y So,129,1014,4,23-1/2,8 10 10,1:13.86,87
2019/05/26,ST,2,GOOD TO YIELDING,HELENE SUPER STAR HANDICAP,TURF - "A" Course,920000,Class 4,1200M,1,10,SHINING ACE(C229),J Moreira,J Size,126,1134,5,-,2 1 1,1:10.36,1.9
2019/05/26,ST,2,GOOD TO YIELDING,HELENE SUPER STAR HANDICAP,TURF - "A" Course,920000,Class 4,1200M,2,8,SUPREME PLUS(C252),U Rispoli,F C Lor,129,1113,1,1-1/4,4 3 2,1:10.56,6
2019/05/26,ST,2,GOOD TO YIELDING,HELENE SUPER STAR HANDICAP,TURF - "A" Course,920000,Class 4,1200M,3,7,VICTORY IN HAND(C103),R Bayliss,K W Lui,130,1099,4,1-3/4,8 5 3,1:10.65,18
2019/05/26,ST,2,GOOD TO YIELDING,HELENE SUPER STAR HANDICAP,TURF - "A" Course,920000,Class 4,1200M,4,3,EMPIRE STAR(A145),J McDonald,J Moore,130,1089,8,3,10 9 4,1:10.83,8.4
2019/05/26,ST,2,GOOD TO YIELDING,HELENE SUPER STAR HANDICAP,TURF - "A" Course,920000,Class 4,1200M,5,12,MR MAGELLAN(C008),G van Niekerk,Y S Tsui,121,1089,9,3-1/4,13 12 5,1:10.89,16
2019/05/26,ST,2,GOOD TO YIELDING,HELENE SUPER STAR HANDICAP,TURF - "A" Course,920000,Class 4,1200M,6,2,CHICKEN DANCE(C099),K Teetan,P O'Sullivan,131,1201,14,3-1/2,9 10 6,1:10.92,5.1
2019/05/26,ST,2,GOOD TO YIELDING,HELENE SUPER STAR HANDICAP,TURF - "A" Course,920000,Class 4,1200M,7,1,DALRADIAN(A213),C Wong,C H Yip,128,1134,7,4-1/4,3 2 7,1:11.06,28
2019/05/26,ST,2,GOOD TO YIELDING,HELENE SUPER STAR HANDICAP,TURF - "A" Course,920000,Class 4,1200M,8,5,HAPPY FOREST(C347),K C Ng,W Y So,127,1058,3,5-1/4,11 11 8,1:11.21,227
2019/05/26,ST,2,GOOD TO YIELDING,HELENE SUPER STAR HANDICAP,TURF - "A" Course,920000,Class 4,1200M,9,14,TEST THE STARS(B193),C Y Ho,D J Hall,118,1043,13,6,12 13 9,1:11.30,129
2019/05/26,ST,2,GOOD TO YIELDING,HELENE SUPER STAR HANDICAP,TURF - "A" Course,920000,Class 4,1200M,10,13,LET'S COME BACK(B367),T Hattori,C Fownes,120,1129,6,6,7 6 10,1:11.32,107
2019/05/26,ST,2,GOOD TO YIELDING,HELENE SUPER STAR HANDICAP,TURF - "A" Course,920000,Class 4,1200M,11,4,FOCUS(C254),K C Leung,P F Yiu,130,1079,2,8-1/4,5 4 11,1:11.70,107
2019/05/26,ST,2,GOOD TO YIELDING,HELENE SUPER STAR HANDICAP,TURF - "A" Course,920000,Class 4,1200M,12,9,WINNING WARRIOR(C185),M F Poon,K L Man,125,1090,11,9-1/4,6 8 12,1:11.83,245
2019/05/26,ST,2,GOOD TO YIELDING,HELENE SUPER STAR HANDICAP,TURF - "A" Course,920000,Class 4,1200M,13,6,V CHEVALIERS(C358),T H So,L Ho,128,1061,12,13-3/4,14 14 13,1:12.56,188
