Jockey,騎師,1ST,1DH,2ND,2DH,3RD,3DH,4TH,4DH,5TH,5DH,STARTS,STAKES,Win%
Moreira J.,莫雷拉,171,1,104,2,84,--,78,3,54,--,711,207728527.50,24.1%
Purton Z.,潘頓,107,1,92,--,60,--,48,--,50,--,604,140821315.00,17.7%
Callan N.,郭能,47,--,51,--,48,--,42,--,55,--,541,59383150.00,8.7%
Whyte D.,韋達,41,--,36,--,32,--,48,--,49,--,460,46327565.00,8.9%
Clipperton S.,祈普敦,40,--,38,--,31,--,47,--,34,--,492,45745250.00,8.1%
Teetan K.,田泰安,40,2,59,1,54,1,58,--,58,--,631,60528275.00,6.3%
Rawiller N.,羅理雅,35,--,28,--,35,1,27,--,29,--,300,41134625.00,11.7%
Prebble B.,柏寶,32,--,45,--,43,1,42,--,26,--,413,57750725.00,7.7%
Schofield C.,史卓豐,30,--,41,--,30,1,31,2,37,--,422,38443750.00,7.1%
Leung K.C.,梁家俊,25,--,36,--,25,--,29,--,47,1,464,31101392.50,5.4%
Mo H.T.,巫顯東,24,--,16,--,31,1,20,1,24,--,289,23378775.00,8.3%
Poon M.F.,潘明輝,22,--,8,--,23,--,10,--,5,--,121,18521075.00,18.2%
Chiong K.K.,蔣嘉琦,21,--,28,1,25,--,26,2,27,--,395,25503037.50,5.3%
Doleuze O.,杜利萊,20,--,25,--,34,--,32,--,25,--,348,21809125.00,5.7%
Ho C.Y.,何澤堯,18,--,21,--,36,1,33,--,34,--,476,23078475.00,3.8%
de Sousa S.,蘇兆輝,16,--,27,--,26,--,21,--,26,--,235,36931875.00,6.8%
Wong H.N.,黃皓楠,16,--,13,1,26,--,24,--,21,--,340,19556150.00,4.7%
Yeung M.L.,楊明綸,15,--,23,--,21,--,25,--,30,--,390,18949925.00,3.8%
Rispoli U.,李寶利,15,--,22,--,29,--,23,--,22,1,262,19315312.50,5.7%
Chadwick M.,蔡明紹,9,--,21,--,22,--,22,--,30,1,302,18403225.00,3.0%
Lai H.W.,黎海榮,9,--,11,--,16,--,33,1,29,--,387,13851100.00,2.3%
Badel A.,巴度,7,--,8,--,8,--,12,--,11,--,117,10906625.00,6.0%
Bowman H.,布文,7,--,4,--,7,--,4,--,4,--,43,35308045.00,16.3%
So T.H.,蘇狄雄,6,--,15,1,13,--,16,--,16,1,319,9207275.00,1.9%
Williams C.,韋紀力,6,--,7,--,7,--,3,--,4,--,50,7196775.00,12.0%
