Jockey,Win,2nd,3rd,4th,5th,Total Rides,Stakes Won
Z Purton ,0.22,0.17,0.1,0.1,0.08,525,$184804365
K Teetan ,0.13,0.1,0.1,0.1,0.09,555,$95338160
J Moreira ,0.18,0.16,0.1,0.09,0.08,338,$100795525
C Y Ho ,0.1,0.08,0.11,0.12,0.09,443,$55460740
C Wong ,0.12,0.07,0.1,0.05,0.09,326,$38085325
M F Poon ,0.07,0.05,0.1,0.1,0.09,389,$35001695
C Schofield ,0.08,0.09,0.08,0.12,0.1,341,$42621250
G van Niekerk ,0.07,0.09,0.09,0.07,0.09,322,$32053775
U Rispoli ,0.06,0.06,0.09,0.09,0.09,409,$31165425
H T Mo ,0.07,0.06,0.07,0.09,0.07,309,$25302050
K C Leung ,0.05,0.07,0.08,0.07,0.06,380,$35009625
M Chadwick ,0.05,0.08,0.1,0.07,0.1,378,$28320850
M L Yeung ,0.05,0.06,0.07,0.06,0.1,330,$21071950
N Callan ,0.04,0.09,0.12,0.08,0.06,331,$26237400
H N Wong ,0.03,0.04,0.03,0.06,0.06,307,$11652675
A Sanna ,0.03,0.05,0.05,0.03,0.09,188,$8375375
W M Lai ,0.03,0.06,0.06,0.06,0.06,179,$7606500
R Bayliss ,0.04,0.06,0.04,0.03,0.08,114,$6728975
T H So ,0.03,0.03,0.03,0.04,0.06,158,$4797125
M Harley ,0.05,0.05,0.05,0.04,0.04,82,$4067550
K H Chan ,0.1,0.08,0.13,0.08,0.08,40,$4468050
A Domeyer ,0.15,0,0.08,0.08,0.08,13,$1766400
K C Ng ,0,0,0.04,0.07,0.08,74,$1124275
H Lam ,0,0,0,0,0,0,$0
H W Lai ,0,0,0,0,0,0,$0
O Chavez ,0,0,0,0,0,0,$0
R Maia ,0,0,0,0,0,0,$0
W L Ho ,0,0,0,0,0,0,$0
W Smith ,0,0,0,0,0,0,$0
S de Sousa ,0.15,0.15,0.09,0.11,0.09,298,$70085315
D Whyte ,0.08,0.07,0.11,0.11,0.1,271,$33083650
A Badel ,0.06,0.11,0.05,0.1,0.11,168,$20770150
S Clipperton ,0.03,0.07,0.09,0.09,0.14,116,$14374850
H Bowman ,0.08,0.05,0.05,0.2,0.08,40,$22914600
C Murray ,0.01,0.02,0.03,0.06,0.06,143,$2778800
R Moore ,0.13,0.13,0.13,0,0,16,$4716720
J McDonald ,0.08,0.08,0.08,0.08,0.23,13,$2327650
T Angland ,0.17,0.17,0.17,0,0,6,$1260600
C Keane ,0.25,0,0.25,0,0,4,$756240
M Matsuoka ,0.5,0,0,0,0,2,$13680000
Y Iwata ,0.5,0,0,0,0,2,$524400
T Berry ,0.25,0,0,0,0,4,$524400
J Castellano ,0,0.5,0,0,0,4,$485760
O Murphy ,0,0.04,0.08,0.12,0.08,26,$5266850
C Lemaire ,0,0.13,0.13,0,0,8,$8560000
G Mosse ,0,0.1,0,0.1,0.2,10,$708850
W Buick ,0,0.25,0,0,0,4,$5900000
M Barzalona ,0,0,0,0.1,0.2,10,$176640
D Oliver ,0,0,0,0.25,0.25,4,$131100
Y Take ,0,0,0,0.14,0,7,$866240
M Demuro ,0,0,0,0,1,1,$825000
C Williams ,0,0,0,0,0.25,4,$428250
P-C Boudot ,0,0,0,0,0.2,5,$660000
J Bowditch ,0,0,0,0,0,1,$0
W Lordan ,0,0,0,0,0,1,$0
Y Kawada ,0,0,0,0,0,1,$0
J Doyle ,0,0,0,0,0,2,$0
M Walker ,0,0,0,0,0,2,$0
T Clark ,0,0,0,0,0,3,$0
