Racecourse,RaceNo,RaceDate1,RaceDate2,RaceDate3
ST,11,2018,12,23
ST,11,2018,12,19
ST,11,2018,12,16
HV,11,2018,12,12
ST,11,2018,12,9
HV,11,2018,12,5
ST,11,2018,12,2
HV,11,2018,11,28
ST,11,2018,11,25
HV,11,2018,11,21
ST,11,2018,11,18
HV,11,2018,11,14
ST,11,2018,11,10
HV,11,2018,11,7
ST,11,2018,11,4
ST,11,2018,10,31
HV,11,2018,10,28
HV,11,2018,10,24
ST,11,2018,10,21
HV,11,2018,10,18
ST,11,2018,10,13
HV,11,2018,10,10
ST,11,2018,10,7
HV,11,2018,10,3
ST,11,2018,10,1
HV,11,2018,9,26
ST,11,2018,9,22
ST,11,2018,9,16
HV,11,2018,9,12
ST,11,2018,9,9
HV,11,2018,9,5
ST,11,2018,9,2
