Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Sex,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,going,class,raceNo,raceCourse,date
1,4/8/7/8/9/4,,WINNING SUPREME,A351,U Rispoli,,4,Y S Tsui,59,-1,1084,-5,1.09.56,6,-,g,1384600,2,B,Andy Chu Kwok On,Alfred Nobel,Matilda Grace,PP,133.0,TURF - C Course,1200M,GOOD TO FIRM,Class 4,1,ST,20190608
2,6/6/9/10/4/3,,BULB ELITE,A183,K H Chan,,2,C H Yip,58,-2,1143,-50,1.09.36,5,-,g,0,+ 1,B1,Alfred Chong Kin Ngai & Jack Chong Chun Kit,Iffraaj,Miranda Miss,PP,122.0,TURF - C Course,1200M,GOOD TO FIRM,Class 4,1,ST,20190608
3,8/4/11/7/5/11,,ALL YOU NEED,A006,M F Poon,,6,R Gibson,56,0,1192,+8,1.09.45,5,-,g,87400,+ 1,CP/H,Eric Ng Wing Kwong,Danerich,Metung Belle,PPG,127.0,TURF - C Course,1200M,GOOD TO FIRM,Class 4,1,ST,20190608
4,7/11/10/7/4/9,,GENTLE BREEZE,B343,M Chadwick,,1,P F Yiu,54,-2,1164,+9,1.10.12,4,-,g,892400,* 2,,Sin Kang Yuk,Foxwedge,Marjorie,PPG,128.0,TURF - C Course,1200M,GOOD TO FIRM,Class 4,1,ST,20190608
5,12,,BREAK RECORD,C168,C Schofield,,9,C S Shum,52,0,1088,-45,1.10.95,3,-,g,0,1,B1/TT1,Cheng Miu Chun,Casino Prince,Bella Laguna,PPG,126.0,TURF - C Course,1200M,GOOD TO FIRM,Class 4,1,ST,20190608
6,14,,FREE VIEW,B310,N Callan,,7,P O'Sullivan,52,0,932,-13,1.13.47,3,-,g,0,* 2,,Media Syndicate,Al Samer,Proud As Punch,PPG,126.0,TURF - C Course,1200M,GOOD TO FIRM,Class 4,1,ST,20190608
7,-,,SHANGHAI RUSKY,C279,M L Yeung,,8,T P Yung,52,-,1151,-,,3,-,g,0,* 1,H1,Michael Shum Wai Kit Kevin Shum Chung Kiu & Victor Heng Ja Wei,Sizzling,Really Flying,PPG,124.0,TURF - C Course,1200M,GOOD TO FIRM,Class 4,1,ST,20190608
8,8,,SPEEDY MISSILE,C281,K Teetan,,3,K H Ting,52,0,1127,-19,1.10.65,3,-,g,0,+ 1,,Yung Chak Man,Smart Missile,Skyerush,PPG,126.0,TURF - C Course,1200M,GOOD TO FIRM,Class 4,1,ST,20190608
9,13,,V CHEVALIERS,C358,T H So,,10,L Ho,52,0,1055,-6,1.12.56,4,-,g,0,1,H/P1,Musketeers Fraternity Syndicate,Ocean Park,Screen Siren,PPG,124.0,TURF - C Course,1200M,GOOD TO FIRM,Class 4,1,ST,20190608
10,7,,VICTORIAM,C186,A Domeyer,,12,K W Lui,52,0,1114,-4,1.11.31,3,-,g,0,1,SR-,Victoriam Syndicate,I Am Invincible,Quality Impulse,PPG,126.0,TURF - C Course,1200M,GOOD TO FIRM,Class 4,1,ST,20190608
