Trainer,練馬師,1ST,1DH,2ND,2DH,3RD,3DH,4TH,4DH,5TH,5DH,STARTS,STAKES,Win%
Size J.,蔡約翰,87,--,66,2,50,--,54,--,35,1,508,176441240.00,17.10%
Lor F.C.,羅富全,65,--,47,--,49,--,39,--,34,--,432,62296860.00,15.00%
Cruz A.S.,告東尼,53,--,54,--,50,--,73,1,52,--,583,139304960.00,9.10%
Shum C.S.,沈集成,51,--,41,--,42,--,35,--,33,--,488,63076620.00,10.50%
Lui K.W.,呂健威,46,--,33,--,37,--,26,2,26,--,382,46833915.00,12.00%
O'Sullivan P.,蘇保羅,40,--,42,1,39,1,38,--,36,--,452,43964855.00,8.80%
Yip C.H.,葉楚航,40,--,40,--,43,--,41,1,42,--,535,41333450.00,7.50%
Tsui Y.S.,徐雨石,40,1,46,--,40,--,40,1,43,1,523,44427620.00,7.60%
Fownes C.,方嘉柏,39,--,41,--,40,1,47,1,49,1,522,47634720.00,7.50%
Yiu P.F.,姚本輝,35,--,27,--,46,--,36,--,28,1,414,42458950.00,8.50%
Millard A.T.,苗禮德,34,--,24,--,30,--,29,--,23,--,291,47944320.00,11.70%
Moore J.,約翰摩亞,33,--,39,--,35,--,44,--,47,--,498,96764400.00,6.60%
Ho L.,何良,32,--,36,--,36,--,33,1,41,--,467,38093795.00,6.90%
Yung T.P.,容天鵬,30,--,24,--,17,--,23,--,20,--,351,31432560.00,8.50%
Gibson R.,高伯新,28,1,24,--,35,--,23,--,29,--,332,30533370.00,8.40%
So W.Y.,蘇偉賢,27,--,48,--,31,--,31,--,40,1,468,37629690.00,5.80%
Ferraris D.E.,霍利時,27,--,40,--,41,--,47,1,46,1,488,33464060.00,5.50%
Man K.L.,文家良,22,--,25,--,30,--,30,2,47,--,439,27281275.00,5.00%
Hall D.J.,賀賢,20,--,38,--,30,1,30,--,27,--,386,29685140.00,5.20%
Chang C.W.,鄭俊偉,16,--,16,--,33,--,21,1,24,--,356,16814650.00,4.50%
Lee A.,李易達,15,--,23,--,22,--,36,--,25,1,371,16545500.00,4.00%
Freedman M.J.,麥菲文,14,--,24,1,19,1,12,1,27,--,261,18641800.00,5.40%
Cruz D.,告達理,13,--,9,--,10,--,20,--,27,1,212,11727250.00,6.10%
O'Brien A.P.,岳伯仁,1,--,0,--,0,--,0,--,1,--,5,11019000.00,20.00%
Fabre A.,費伯華,0,--,1,--,0,--,0,--,0,--,1,3960000.00,0.00%
Fujiwara H.,藤原英昭,0,--,0,--,1,--,1,--,0,--,2,3225000.00,0.00%
Hori N.,堀宣行,0,--,0,--,1,--,0,--,0,--,1,2500000.00,0.00%
Beckett R.M.,白祈達,0,--,0,--,0,--,1,--,1,--,2,1356000.00,0.00%
Takahashi Y.,高橋義忠,0,--,0,--,0,--,1,--,0,--,1,912000.00,0.00%
Ikee Y.,池江泰壽,0,--,0,--,0,--,0,--,1,--,2,792000.00,0.00%
Okubo R.,大久保龍志,0,--,0,--,0,--,0,--,1,--,1,825000.00,0.00%
Stoute Sir M.R,司徒德爵士,0,--,0,--,0,--,0,--,0,--,2,500000.00,0.00%
Umeda T.,梅田智之,0,--,0,--,0,--,0,--,0,--,1,370000.00,0.00%
Mullins W.P.,莫威利,0,--,0,--,0,--,0,--,0,--,1,360000.00,0.00%
Appleby C.,艾柏賓,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Balding A.M.,包義定,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Barande-Barbe,鮑歌蓮,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Couetil A.,郭艾迪,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Dunlop H.J.L.,鄧力普,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Graffard F-H,葛威法,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Guillemin D.,顧禮文,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Hannon R.,向禮倫,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Leyshan P.,李森,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Miller P.,苗利雅,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Moore J.M.,霑士摩亞,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Otonashi H.,音無秀孝,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Rohaut F.,盧漢德,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Saito M.,齋藤誠,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Simcock D.,沈國基,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Sumii K.,角居勝彥,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
