Trainer,T_Win,T_2nd,T_3rd,T_4th,T_5th,Total Runs,T_Stakes Won
J Size,17,13,10,11,7,508,176441240
F C Lor,15,11,11,9,8,432,62296860
A S Cruz,9,9,9,13,9,583,139304960
C S Shum,10,8,9,7,7,488,63076620
K W Lui,12,9,10,7,7,382,46833915
P O'Sullivan,9,9,9,8,8,452,43964855
C H Yip,7,7,8,8,8,535,41333450
Y S Tsui,8,9,8,8,8,523,44427620
C Fownes,7,8,8,9,9,522,47634720
P F Yiu,8,7,11,9,7,414,42458950
A T Millard,12,8,10,10,8,291,47944320
J Moore,7,8,7,9,9,498,96764400
L Ho,7,8,8,7,9,467,38093795
T P Yung,9,7,5,7,6,351,31432560
R Gibson,8,7,11,7,9,332,30533370
W Y So,6,10,7,7,9,468,37629690
D E Ferraris,6,8,8,10,9,488,33464060
K L Man,5,6,7,7,11,439,27281275
D J Hall,5,10,8,8,7,386,29685140
C W Chang,4,4,9,6,7,356,16814650
A Lee,4,6,6,10,7,371,16545500
M J Freedman,5,9,7,5,10,261,18641800
D Cruz,6,4,5,9,13,212,11727250
A P O'Brien,20,0,0,0,20,5,11019000
A Fabre,0,100,0,0,0,1,3960000
H Fujiwara,0,0,50,50,0,2,3225000
N Hori,0,0,100,0,0,1,2500000
R M Beckett,0,0,0,50,50,2,1356000
Y Takahashi,0,0,0,100,0,1,912000
R Okubo,0,0,0,0,100,1,825000
Y Ikee,0,0,0,0,50,2,792000
A Couetil,0,0,0,0,0,1,0
A M Balding,0,0,0,0,0,1,0
Barande-Barbe,0,0,0,0,0,1,0
C Appleby,0,0,0,0,0,1,0
D Guillemin,0,0,0,0,0,1,0
D Simcock,0,0,0,0,0,1,0
F Rohaut,0,0,0,0,0,1,0
F-H Graffard,0,0,0,0,0,1,0
H J L Dunlop,0,0,0,0,0,1,0
H Otonashi,0,0,0,0,0,1,0
J M Moore,0,0,0,0,0,1,0
K Sumii,0,0,0,0,0,1,0
M Saito,0,0,0,0,0,1,0
P Leyshan,0,0,0,0,0,1,0
P Miller,0,0,0,0,0,1,0
R Hannon,0,0,0,0,0,1,0
T Umeda,0,0,0,0,0,1,370000
W P Mullins,0,0,0,0,0,1,360000
Sir M R Stoute,0,0,0,0,0,2,500000
