Age,J_Win,J_2nd,J_3rd,J_4th,J_5th,Total Rides,J_Stakes Won,T_Win,T_2nd,T_3rd,T_4th,T_5th,Total Runs,T_Stakes Won,DamRank,SireRank,draw_1,draw_10,draw_11,draw_12,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,draw_8,draw_9,road_TURF - A Course,road_TURF - B Course,road_TURF - C Course,class_Class 1,class_Class 2,class_Class 3,class_Class 4,class_Class 5
5.0,12.0,7.0,9.0,5.0,9.0,330.0,38085325.0,10.0,9.0,8.0,10.0,9.0,401.0,45310680.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,15.0,15.0,9.0,11.0,9.0,298.0,70085315.0,7.0,10.0,8.0,9.0,10.0,341.0,41529695.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,0.0,0.0,4.0,6.0,9.0,78.0,1156475.0,7.0,5.0,6.0,9.0,8.0,456.0,36575960.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,5.0,8.0,10.0,6.0,10.0,385.0,29456500.0,6.0,11.0,7.0,8.0,10.0,325.0,27210915.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,7.0,5.0,9.0,10.0,9.0,396.0,35001695.0,4.0,8.0,5.0,7.0,5.0,297.0,14434775.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,13.0,10.0,10.0,10.0,9.0,565.0,96115560.0,10.0,9.0,10.0,9.0,9.0,470.0,94386400.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,9.0,8.0,8.0,12.0,10.0,348.0,44300250.0,7.0,10.0,9.0,9.0,9.0,390.0,41761300.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,22.0,17.0,10.0,10.0,7.0,535.0,187770015.0,13.0,8.0,10.0,8.0,9.0,416.0,106395650.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,3.0,5.0,5.0,3.0,9.0,188.0,8375375.0,15.0,11.0,10.0,10.0,7.0,362.0,123351400.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,3.0,6.0,4.0,2.0,8.0,121.0,6761175.0,6.0,11.0,7.0,8.0,10.0,325.0,27210915.0,12.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
