date,raceNo,Age,draw,Chinese Name,Code,Trainer,Jockey,plc,odds,finishTime_x,y_pred,y_Rank,x_Rank
2019-03-06 00:00:00,4,4.0,4,兵貴神速 ,B299,F C Lor,A Sanna,1.0,10,101030.0,101352.0,2.0,1.0
2019-03-06 00:00:00,4,5.0,12,活力勇士 ,A313,J Moore,Z Purton,2.0,3,101070.0,101235.0,1.0,2.0
2019-03-06 00:00:00,4,6.0,5,鑽石達人 ,V341,A S Cruz,K Teetan,4.0,7.6,101440.0,101541.0,3.0,4.0
2019-03-06 00:00:00,4,9.0,8,中華壹號 ,T207,T P Yung,M Chadwick,6.0,38,101770.0,101810.0,5.0,6.0
2019-03-06 00:00:00,4,4.0,1,得先生 ,C032,R Gibson,S de Sousa,8.0,6.7,101870.0,101776.0,4.0,8.0
2019-03-13 00:00:00,7,7.0,4,小米周 ,T355,C S Shum,G van Niekerk,1.0,10,100060.0,100545.0,1.0,1.0
2019-03-13 00:00:00,7,6.0,5,萬利高 ,V396,P O'Sullivan,C Wong,2.0,7.6,100170.0,100807.0,4.0,2.0
2019-03-13 00:00:00,7,7.0,11,情趣 ,V114,D E Ferraris,U Rispoli,3.0,35,100210.0,101073.0,5.0,3.0
2019-03-13 00:00:00,7,4.0,3,黃金甲 ,C071,F C Lor,K C Leung,5.0,15,100380.0,100794.0,3.0,5.0
2019-03-13 00:00:00,7,5.0,10,快利寶 ,A320,R Gibson,S de Sousa,11.0,3.3,101660.0,100632.0,2.0,11.0
2019-03-13 00:00:00,5,4.0,7,狂舞派 ,B404,T P Yung,M Chadwick,1.0,5,100690.0,100958.0,1.0,1.0
2019-03-13 00:00:00,5,7.0,12,明月光 ,T369,P O'Sullivan,N Callan,2.0,24,100850.0,101311.0,4.0,2.0
2019-03-13 00:00:00,5,5.0,4,八太子 ,A426,C S Shum,S de Sousa,4.0,3.4,101260.0,101073.0,2.0,4.0
2019-03-13 00:00:00,5,4.0,3,帶榮來 ,B197,P F Yiu,J Moreira,5.0,3.9,101290.0,101378.0,5.0,5.0
2019-03-13 00:00:00,5,4.0,11,陽明高高 ,B132,K W Lui,C Y Ho,6.0,6,101380.0,101147.0,3.0,6.0
2019-03-13 00:00:00,4,5.0,7,精算齊同 ,B102,K W Lui,C Y Ho,1.0,7,100050.0,101048.0,1.0,1.0
2019-03-13 00:00:00,4,4.0,2,祥光普照 ,A273,L Ho,T H So,2.0,3.6,100270.0,101435.0,5.0,2.0
2019-03-13 00:00:00,4,6.0,6,塑料喜 ,T326,K H Ting,M Chadwick,5.0,8.5,100730.0,101274.0,2.0,5.0
2019-03-13 00:00:00,4,5.0,9,運才 ,A251,C Fownes,Z Purton,6.0,5.8,100840.0,101394.0,4.0,6.0
2019-03-13 00:00:00,4,4.0,12,活力寶駒 ,B279,D J Hall,M F Poon,7.0,26,100900.0,101330.0,3.0,7.0
2019-03-20 00:00:00,1,5.0,9,鑽飾神聖 ,A419,A T Millard,K Teetan,1.0,11,99920.0,100164.0,1.0,1.0
2019-03-20 00:00:00,1,6.0,7,駿驫 ,V319,L Ho,G van Niekerk,2.0,15,99970.0,100457.0,3.0,2.0
2019-03-20 00:00:00,1,5.0,3,好運齊來 ,B124,C S Shum,M F Poon,3.0,4.3,100150.0,101048.0,5.0,3.0
2019-03-20 00:00:00,1,7.0,8,金飯碗 ,T289,D E Ferraris,U Rispoli,5.0,11,100490.0,100975.0,4.0,5.0
2019-03-20 00:00:00,1,7.0,12,金錢炮 ,T022,K W Lui,C Y Ho,7.0,13,100800.0,100434.0,2.0,7.0
2019-04-10 00:00:00,8,6.0,1,龍船 ,V186,K H Ting,U Rispoli,1.0,9.6,100000.0,100339.0,1.0,1.0
2019-04-10 00:00:00,8,5.0,10,福威勝 ,B223,K W Lui,C Y Ho,2.0,11,100070.0,101280.0,4.0,2.0
