date,raceNo,Horse No.,Horse,pred_finishTime,pred_plc
20190515,7,12,SPLIT OF A SECOND,70103.0,1.0
20190515,7,11,BETTER CHOICE,70674.0,7.0
20190515,7,10,PRIVATE ROCKET,70478.0,4.0
20190515,7,9,SPEEDY LUCK,70833.0,9.0
20190515,7,8,MEGA HEART,70956.0,11.0
20190515,7,7,GINTOKI,70463.0,3.0
20190515,7,6,E MASTER,70319.0,2.0
20190515,7,5,BUOYANT BOY,70737.0,8.0
20190515,7,4,HARRIER JET,70492.0,5.0
20190515,7,3,SUPREME PATROL,71097.0,12.0
20190515,7,2,JING JING WIN,70587.0,6.0
20190515,7,1,RACING FIGHTER,70848.0,10.0
20190515,2,12,FORMULA GALORE,71050.0,9.0
20190515,2,11,COMPASSION STAR,71097.0,10.0
20190515,2,10,GOOD COMPANION,70899.0,8.0
20190515,2,9,BULLISH BROTHER,70209.0,1.0
20190515,2,8,MISCHIEVOUS SUNDAE,70798.0,5.0
20190515,2,7,OUR GREEN,70861.0,7.0
20190515,2,6,THIS IS CLASS,70426.0,2.0
20190515,2,5,LORIZ,70847.0,6.0
20190515,2,4,CHEEKY BEE,71630.0,12.0
20190515,2,3,LONDON MASTER,70627.0,3.0
20190515,2,2,ORIENTAL ELITE,70685.0,4.0
20190515,2,1,HERO TIME,71097.0,11.0
