Trainer,練馬師,Trainer2
Size J.,蔡約翰,J Size
Shum C.S.,沈集成,C S Shum
Moore J.,約翰摩亞,J Moore
Cruz A.S.,告東尼,A S Cruz
O'Sullivan P.,蘇保羅,P O'Sullivan
Tsui Y.S.,徐雨石,Y S Tsui
Fownes C.,方嘉柏,C Fownes
Yip C.H.,葉楚航,C H Yip
Lui K.W.,呂健威,K W Lui
Millard A.T.,苗禮德,A T Millard
So W.Y.,蘇偉賢,W Y So
Yiu P.F.,姚本輝,P F Yiu
Hall D.J.,賀賢,D J Hall
Man K.L.,文家良,K L Man
Yung T.P.,容天鵬,T P Yung
Ho L.,何良,L Ho
Lee A.,李易達,A Lee
Cruz D.,告達理,D Cruz
Chang C.W.,鄭俊偉,C W Chang
Ferraris D.E.,霍利時,D E Ferraris
Gibson R.,高伯新,R Gibson
Schutz A.,孫達志,A Schutz
Woods S.,胡森,S Woods
Ng T.K.,吳定強,T K Ng
Lor F.C.,羅富全,F C Lor
Freedman M.J.,麥菲文,M J Freedman
