Dam,DamRank
A Class Act,1.0
Acid Test,5.0
Across The Moon,7.0
Adja,2.0
Afnoon,11.0
Agi Gu Li,8.0
Alberton Park,11.0
Alleyrun,1.0
Amenixa,7.0
Angora,13.0
Annie Daly,6.0
Applause,14.0
Aqua d'Amore,7.0
Arms Wide Open,2.0
Around The Clock,11.0
Arthurs Princess,2.0
Authentic Desire,5.0
Avoid,9.0
Awjila,10.0
Baahama,6.0
Baby Boom,7.0
Ballet Society,3.0
Bannisters,7.0
Bantry Bay,7.0
Bargouzine,5.0
Batroun,4.0
Bedizened,11.0
Belle d'Orleans,9.0
Betty Brown,3.0
Biz Bar,9.0
Black Beauty,4.0
Blue Fairy Wren,11.0
Boldina,4.0
Box Of Frogs,7.0
Break Of Dawn,1.0
Bright Snow,1.0
Bronislava,10.0
Bush Triumph,7.0
Candy Ride,3.0
Caralowe,1.0
Cariad,3.0
Celestina Agostino,12.0
Chanter,9.0
Charangas,5.0
Charmed Lady,4.0
Chichi Romero,6.0
China Choice,6.0
Chinese White,8.0
Christinas Letter,5.0
Clinical,7.0
Close To The Edge,1.0
Coimbra,4.0
Colorado Claire,2.0
Comme Tu Veux,11.0
Compelling,10.0
Coonac,7.0
Cortina Gal,1.0
County Mayo,2.0
Covertly,2.0
Creative Plan,9.0
Creil,10.0
Cromac,3.0
Daly Charm,1.0
Dame Hester,8.0
Dance Hit,6.0
Dancescape,9.0
Dandify,1.0
Dangerous Dancer,6.0
Dantessa,10.0
De Right Stuff,7.0
Deal Or No Deal,9.0
Dearness,6.0
Definite Opinion,5.0
Delarouze,11.0
Dellwood Diva,7.0
Derrycarna,9.0
Divine Lady,11.0
Divine Miss Em,11.0
Dizelle,3.0
Dontwaltzme,9.0
Dosh,6.0
Drops,7.0
Dyna Slam,1.0
Eden,8.0
Emma Princess,8.0
Empire Rose,3.0
Enchant,8.0
Enciamo,1.0
Eroica,4.0
Eugenie Gold,1.0
Evening Pleasures,6.0
Everswindell,5.0
Exelante,10.0
Extension Of Time,2.0
Fain,1.0
Fairly Feline,7.0
Fantastic Flo Jo,1.0
Fiammarosa,11.0
Fidele,7.0
Fine Stem,4.0
Fire Song,3.0
Fleeting Touch,3.0
Flying Success,12.0
Fromage,8.0
Gemadaily,12.0
Gentle On My Mind,7.0
Gingerbread,6.0
Girl Hussler,5.0
Girl Power,2.0
Girls On Top,3.0
Glam Slam,11.0
Grace And Eva,10.0
Graces Spirit,11.0
Grantsville,14.0
Grey Deceiver,4.0
Grilse,3.0
Gwyllion,10.0
Gypsy Carnival,5.0
Gypsy Mai,9.0
Hassaya,6.0
Heaven Beneath,1.0
Heaven Sent,10.0
Heavens Peak,2.0
Here To Eternity,1.0
Hidden Spirit,10.0
High Aspirations,3.0
Holiday In Goa,1.0
Hope So,2.0
Hush Up,4.0
Idea,6.0
Idriess,1.0
Imitation,2.0
Innovation Girl,10.0
Irish Hut,8.0
Isn't She Fabulous,2.0
Isola Di Capri,8.0
Jarada,6.0
Jemison,7.0
Jessepic,6.0
Jeunes Knight,2.0
Joy In Winning,10.0
Judicial Queen,4.0
Just A Dream,5.0
Just Stunning,10.0
Kaimana,4.0
Kate Of Clonmel,13.0
Keeper Quiet,6.0
Keeperinthemyst,12.0
Kiss 'N Chase,6.0
Kiss And Cuddle,6.0
Krysia,8.0
Kuda Cepat,8.0
Kushnarenkovo,5.0
Kvarena,1.0
Kylie's Way,8.0
La Campanella,4.0
La Memoire,8.0
Lacandona,2.0
Lalectra,3.0
Lana Girl,1.0
Langs Lash,10.0
Lapland,3.0
Lava Lady,3.0
Letter From France,10.0
Li'l Miss Hayley,4.0
Lights Off,5.0
Lilli Marlane,5.0
Limelight,8.0
Loch Maryanne,12.0
Luas Line,8.0
Lucida,12.0
Lucky Beauty,12.0
Lucky Norwegian,4.0
Lucy Diamonds,3.0
Luscious Legs,10.0
Lush Liaison,4.0
Maid In Secret,5.0
Many Hearts,3.0
Matilda Grace,5.0
Meddle,2.0
Medrano,7.0
Metung Belle,3.0
Mi Centie,7.0
Michelle Shift,8.0
Midnight Mystique,9.0
Miguelita,4.0
Mill Duckie,5.0
Miranda Miss,4.0
Miss Bellezza,1.0
Miss Bling,7.0
Miss Galileo,11.0
Miss Marielle,13.0
Miss Raggedy Ann,7.0
Miss Riviera,9.0
Missun,8.0
Moment Juste,5.0
More Respect,4.0
Morning Dews,5.0
Mosoru,9.0
Mota,4.0
Mowazana,7.0
Mrs Squillionaire,13.0
Music Review,9.0
My Central,6.0
Mystery Creek,12.0
Nandi,4.0
Navajo Queen,3.0
Nisriyna,9.0
Now The World,9.0
Oasis Jade,6.0
On The Loose,9.0
One Love,2.0
Our Contessina,9.0
Party Queen,2.0
Pearl Dance,8.0
Pediment,14.0
Perfect Promise,9.0
Plain Crazy,6.0
Plaything,10.0
Port Providence,6.0
Portelet,1.0
Prompt,2.0
Purde,6.0
Puzzling,8.0
Pyramisa's Lass,6.0
Quatro,12.0
Queen Of The Falls,5.0
Queen Of Troy,1.0
Queen To Be,2.0
Raewyn,11.0
