1,6,GREAT SON(A423),M F Poon,L Ho,119,1035,4,-,1 1 1,0:57.46,4.1
2,3,PEACE ON EARTH(S254),N Callan,K L Man,126,1096,1,3/4,2 3 2,0:57.58,7.2
3,9,COUR VALANT(P190),H T Mo,K L Man,110,1053,3,2,6 5 3,0:57.77,9.9
4,2,SHOW MISSION(T436),Z Purton,C W Chang,131,1095,6,2-3/4,5 6 4,0:57.90,3.6
5,5,WHISTLE UP(A082),T H So,L Ho,121,1160,7,3-1/2,7 7 5,0:58.02,6.5
6,4,KEEP GOING(B231),C Schofield,Y S Tsui,125,1066,2,3-1/2,4 4 6,0:58.04,6
7,8,DOUBLE DOUBLE(T267),K Teetan,D E Ferraris,113,1112,5,5-1/4,8 8 7,0:58.28,43
8,1,TRIUMPHANT LORD(C101),C Wong,C S Shum,128,1116,8,8-3/4,3 2 8,0:58.88,8.9
WV,7,CARRY TO WIN(V305),J Moreira,R Gibson,118,---,---,---,---,---,---
1,12,PRECIOUS SWEETIE(B254),T H So,L Ho,114,1090,4,-,6 5 1,1:10.22,3.7
2,6,LITTLE WISE MAN(C217),K Teetan,F C Lor,128,1028,11,1-3/4,11 9 2,1:10.49,2.8
3,2,JOLLY CONVERGENCE(V293),N Callan,R Gibson,132,1072,12,2-3/4,9 8 3,1:10.64,25
4,10,SUPER MODEL(B375),C Schofield,C S Shum,118,1112,6,3-1/4,2 2 4,1:10.74,47
5,1,PERFECT BUDDY(B408),M L Yeung,K W Lui,131,1133,3,3-3/4,7 10 5,1:10.82,36
6,3,KHAKI(A294),C Wong,A T Millard,127,1188,7,4-1/4,12 12 6,1:10.88,8.5
7,9,MANFUL STAR(V010),M F Poon,P F Yiu,116,1166,1,4-1/2,5 6 7,1:10.93,19
8,4,SUPER JUNIOR(V390),K C Leung,T P Yung,130,1228,2,4-1/2,1 1 8,1:10.93,10
9,5,EXCEPTIONAL DESIRE(A142),H N Wong,W Y So,126,1193,5,4-3/4,4 3 9,1:10.96,11
10,8,POWER RACER(B459),C Y Ho,C Fownes,119,1087,10,4-3/4,10 11 10,1:10.99,46
11,11,GOUTEN OF GARO(A291),J Moreira,D E Ferraris,117,1073,8,6-1/2,3 4 11,1:11.27,8.3
12,7,FLYING GODSPELL(V376),H T Mo,K H Ting,121,1097,9,13,8 7 12,1:12.29,75
1,8,TRUE GRIT(B232),J Moreira,J Size,124,1021,2,-,4 4 5 1,1:40.16,2.5
2,3,ALPHA HEDGE(B102),C Y Ho,K W Lui,128,1188,7,NOSE,6 6 7 2,1:40.16,4.5
3,6,ROYAL RACER(B460),M Chadwick,C Fownes,126,1079,3,2-1/2,3 3 4 3,1:40.54,6.7
4,2,ACCLAIMED LIGHT(T369),N Callan,P O'Sullivan,132,1025,12,2-3/4,11 10 11 4,1:40.61,15
