# # Age,Chinese Name,Code,Country Of Origin,Dam,English Name,Foaling Date,Former Name,Import Type,Sire,_id,awt,class,code,date,dhw,dist,draw,finishTime,going,horseName,horseNo,jockey,lbw,money,odds,plc,raceCource,raceName,raceNo,road,runPos,trainer,Jockey,騎師,Win_x,Jockey2,Trainer,練馬師,Win_y,Trainer2
6,永常喜 ,V107,NZ,Striking Sneek,HAPPY SOUND,01/12/2012,----,PPG,Thewayyouare,5ccbfdbacce52f167aeb7473,132,Class 5,V107,2016-07-10 00:00:00,1129,1200M,4,1:09.65,GOOD TO FIRM,HAPPY SOUND,2.0,J Moreira,3/4,600000,3.6,2,ST,MY CHOICE HANDICAP,1,TURF - B+2 Course,2 1 2,A Lee,Moreira J.,莫雷拉,25.0,J Moreira,Lee A.,李易達,6.0,A Lee
8,事必獲利 ,T002,AUS,Mota,SPEEDY WALLY,10/09/2010,Speedy Wally,PP,Shinzig,5ccbfdbacce52f167aeb747a,126,Class 5,T002,2016-07-10 00:00:00,1080,1200M,10,1:10.47,GOOD TO FIRM,SPEEDY WALLY,7.0,C K Tong,5-3/4,600000,15,9,ST,MY CHOICE HANDICAP,1,TURF - B+2 Course,11 11 9,C Fownes,Tong C.K.,湯智傑,0.0,C K Tong,Fownes C.,方嘉柏,8.0,C Fownes
10,富貴榮華 ,P324,IRE,Saoire,WEALTHY FORTUNE,17/02/2009,Requisition,PP,Invincible Spirit,5ccbfdbacce52f167aeb748f,114,Class 4,P324,2016-07-10 00:00:00,1030,1800M,4,1:47.88,GOOD TO FIRM,WEALTHY FORTUNE,7.0,K K Chiong,1-3/4,800000,14,2,ST,BEING FAMOUS HANDICAP,3,TURF - B+2 Course,4 2 1 1 2,K L Man,Chiong K.K.,蔣嘉琦,12.0,K K Chiong,Man K.L.,文家良,8.0,K L Man
7,事勝意 ,T391,NZ,Lacada,GIANT TURTLE,22/10/2011,Giant Turtle,PP,Zabeel,5ccbfdbacce52f167aeb7494,123,Class 4,T391,2016-07-10 00:00:00,1029,1800M,1,1:48.16,GOOD TO FIRM,GIANT TURTLE,5.0,N Rawiller,3-1/2,800000,10,7,ST,BEING FAMOUS HANDICAP,3,TURF - B+2 Course,8 9 11 9 7,A Schutz,Rawiller N.,羅理雅,8.0,N Rawiller,Schutz A.,孫達志,4.0,A Schutz
7,萬事欣 ,T129,AUS,Fairy Tree,MULTIMAX,24/09/2011,Magical Jester,PPG,Court Command,5ccbfdbacce52f167aeb749c,125,Class 4,T129,2016-07-10 00:00:00,1122,1200M,8,1:09.66,GOOD TO FIRM,MULTIMAX,4.0,K K Chiong,-,800000,4.9,1,ST,SIGHT WINNER HANDICAP,4,TURF - B+2 Course,1 1 1,A S Cruz,Chiong K.K.,蔣嘉琦,12.0,K K Chiong,Cruz A.S.,告東尼,9.0,A S Cruz
6,翩翩 ,V344,NZ,Pins 'N' Needles,D B PIN,19/10/2012,----,PPG,Darci Brahma,5ccbfdbacce52f167aeb749d,130,Class 4,V344,2016-07-10 00:00:00,1107,1200M,5,1:09.67,GOOD TO FIRM,D B PIN,6.0,Z Purton,SH,800000,2.1,2,ST,SIGHT WINNER HANDICAP,4,TURF - B+2 Course,2 2 2,J Size,Purton Z.,潘頓,15.0,Z Purton,Size J.,蔡約翰,15.0,J Size
6,嬴風雲 ,V321,AUS,Kaimana,SMILING CHARM,19/10/2012,----,ISG,Fastnet Rock,5ccbfdbacce52f167aeb74a2,128,Class 4,V321,2016-07-10 00:00:00,1162,1200M,10,1:10.09,GOOD TO FIRM,SMILING CHARM,8.0,D Whyte,2-3/4,800000,33,7,ST,SIGHT WINNER HANDICAP,4,TURF - B+2 Course,10 9 7,C W Chang,Whyte D.,韋達,7.0,D Whyte,Chang C.W.,鄭俊偉,5.0,C W Chang
7,大龍騰 ,T381,AUS,Sweet Maggie,MASSIVE MILLENNIUM,30/08/2011,Vinnie Eagle,PP,I Am Invincible,5ccbfdbacce52f167aeb74a3,129,Class 4,T381,2016-07-10 00:00:00,1170,1200M,13,1:10.16,GOOD TO FIRM,MASSIVE MILLENNIUM,7.0,G Lerena,3-1/4,800000,68,8,ST,SIGHT WINNER HANDICAP,4,TURF - B+2 Course,4 4 8,D E Ferraris,Lerena G.,雷景勳,3.0,G Lerena,Ferraris D.E.,霍利時,4.0,D E Ferraris
6,蒜頭爺爺 ,V039,NZ,Eden,GARLIC YEAH,11/11/2012,----,PPG,Savabeel,5ccbfdbacce52f167aeb74a6,116,Class 4,V039,2016-07-10 00:00:00,978,1200M,1,1:10.61,GOOD TO FIRM,GARLIC YEAH,13.0,K C Ng,6,800000,374,11,ST,SIGHT WINNER HANDICAP,4,TURF - B+2 Course,12 12 11,C H Yip,Ng K.C.,吳嘉晉,2.0,K C Ng,Yip C.H.,葉楚航,7.0,C H Yip
6,好叻仔 ,V102,AUS,Free Spirited,SUPERIOR BOY,11/11/2012,----,PPG,Magic Albert,5ccbfdbacce52f167aeb74bb,131,Class 4,V102,2016-07-10 00:00:00,1159,1400M,2,1:22.32,GOOD TO FIRM,SUPERIOR BOY,3.0,Z Purton,3,800000,3.6,4,ST,REGENCY HORSE HANDICAP,6,TURF - B+2 Course,4 5 6 4,C W Chang,Purton Z.,潘頓,15.0,Z Purton,Chang C.W.,鄭俊偉,5.0,C W Chang
