# # Age,Chinese Name,Code,Country Of Origin,Dam,English Name,Foaling Date,Former Name,Import Type,Sire,_id,awt,class,code,date,dhw,dist,draw,finishTime,going,horseName,horseNo,jockey,lbw,money,odds,plc,raceCource,raceName,raceNo,road,runPos,trainer,Trainer,練馬師_x,1ST_x,1DH_x,2ND_x,2DH_x,3RD_x,3DH_x,4TH_x,4DH_x,5TH_x,5DH_x,STARTS_x,STAKES_x,Win%_x,# Trainer,練馬師_y,Trainer2,Jockey,騎師_x,1ST_y,1DH_y,2ND_y,2DH_y,3RD_y,3DH_y,4TH_y,4DH_y,5TH_y,5DH_y,STARTS_y,STAKES_y,Win%_y,# Jockey,騎師_y,Jockey2
5,盈進 ,V283,AUS,Absolute Dream,GAINFULJET,09/09/2013,----,PPG,Choisir,5ccbfdbacce52f167aeb4f98,131,Class 5,V283,2017-07-16 00:00:00,1193,1200M,12,1:10.73,GOOD,GAINFULJET,4.0,Z Purton,HD,630000,16,4,ST,BEING FAMOUS HANDICAP,1,TURF - C Course,1 1 4,T P Yung,Yung T.P.,容天鵬,28,--,42,--,28,--,31,--,50,--,454,34341950.0,6.20%,Yung T.P.,容天鵬,T P Yung,Purton Z.,潘頓,107.0,1,92.0,--,60.0,--,48.0,--,50.0,--,604.0,140821315.0,17.7%,Purton Z.,潘頓,Z Purton
7,漸信名駒 ,T253,USA,Aucilla,JIMSON THE FAMOUS,26/03/2012,----,PPG,Yes It's True,5ccbfdbacce52f167aeb4f9d,133,Class 5,T253,2017-07-16 00:00:00,1057,1200M,5,1:11.27,GOOD,JIMSON THE FAMOUS,1.0,C Murray,3-1/2,630000,40,9,ST,BEING FAMOUS HANDICAP,1,TURF - C Course,8 6 9,C H Yip,Yip C.H.,葉楚航,39,--,30,--,40,1,36,1,48,--,569,42365115.0,6.90%,Yip C.H.,葉楚航,C H Yip,Murray C.,麥偉利,4.0,--,1.0,--,5.0,--,13.0,1,7.0,--,100.0,6011325.0,4.0%,Murray C.,麥偉利,C Murray
6,葵涌老友 ,A012,AUS,Shezgonewest,KWAICHUNG BROTHERS,29/09/2012,Apache Arrow,PPG,Racer's Edge,5ccbfdbacce52f167aeb4f9e,133,Class 5,A012,2017-07-16 00:00:00,1157,1200M,8,1:11.28,GOOD,KWAICHUNG BROTHERS,2.0,J Moreira,3-1/2,630000,4.1,10,ST,BEING FAMOUS HANDICAP,1,TURF - C Course,10 11 10,R Gibson,Gibson R.,高伯新,20,--,21,--,28,--,27,--,30,--,316,22199620.0,6.30%,Gibson R.,高伯新,R Gibson,Moreira J.,莫雷拉,171.0,1,104.0,2,84.0,--,78.0,3,54.0,--,711.0,207728528.0,24.1%,Moreira J.,莫雷拉,J Moreira
6,火天大有 ,V406,GB,Claiomh Solais,PROUD SKY,01/03/2013,Clear Cut,PP,Acclamation,5ccbfdbacce52f167aeb4fa2,129,Class 5,V406,2017-07-16 00:00:00,1039,1800M,4,1:49.10,GOOD,PROUD SKY,5.0,M L Yeung,-,630000,24,1,ST,MY CHOICE HANDICAP,2,TURF - C Course,7 8 10 10 1,A Lee,Lee A.,李易達,19,--,30,--,26,--,24,1,43,--,437,19385125.0,4.30%,Lee A.,李易達,A Lee,Yeung M.L.,楊明綸,15.0,--,23.0,--,21.0,--,25.0,--,30.0,--,390.0,18949925.0,3.8%,Yeung M.L.,楊明綸,M L Yeung
5,常豐裕 ,A266,NZ,Senorita Rosay,JOLLY BOUNTIFUL,01/11/2013,Handle Bars Down,PPG,Bullbars,5ccbfdbacce52f167aeb4fb3,131,Class 4,A266,2017-07-16 00:00:00,973,1200M,1,1:10.40,GOOD,JOLLY BOUNTIFUL,1.0,J Moreira,2,840000,2.3,3,ST,BIG PROFIT HANDICAP,3,TURF - C Course,8 8 3,J Size,Size J.,蔡約翰,95,1,75,--,50,3,64,1,43,--,541,120752162.0,17.60%,Size J.,蔡約翰,J Size,Moreira J.,莫雷拉,171.0,1,104.0,2,84.0,--,78.0,3,54.0,--,711.0,207728528.0,24.1%,Moreira J.,莫雷拉,J Moreira
6,銀城福星 ,V088,AUS,Dancescape,RICHCITY FORTUNE,27/09/2012,Lope Too,PPG,Lope de Vega,5ccbfdbacce52f167aeb4fb4,123,Class 4,V088,2017-07-16 00:00:00,1172,1200M,3,1:10.43,GOOD,RICHCITY FORTUNE,4.0,B Prebble,2-1/4,840000,14,4,ST,BIG PROFIT HANDICAP,3,TURF - C Course,3 3 4,J Moore,Moore J.,約翰摩亞,67,2,50,2,55,--,50,1,35,--,537,155263295.0,12.50%,Moore J.,約翰摩亞,J Moore,Prebble B.,柏寶,32.0,--,45.0,--,43.0,1,42.0,--,26.0,--,413.0,57750725.0,7.7%,Prebble B.,柏寶,B Prebble
7,金飯碗 ,T289,GB,Lalectra,SHOWING CHARACTER,15/04/2012,Showing Character,PP,Showcasing,5ccbfdbacce52f167aeb4fb5,121,Class 4,T289,2017-07-16 00:00:00,1086,1200M,5,1:10.45,GOOD,SHOWING CHARACTER,10.0,U Rispoli,2-1/4,840000,9.2,5,ST,BIG PROFIT HANDICAP,3,TURF - C Course,7 7 5,D E Ferraris,Ferraris D.E.,霍利時,33,--,39,--,47,--,42,--,45,--,459,34938110.0,7.20%,Ferraris D.E.,霍利時,D E Ferraris,Rispoli U.,李寶利,15.0,--,22.0,--,29.0,--,23.0,--,22.0,1,262.0,19315312.0,5.7%,Rispoli U.,李寶利,U Rispoli
6,心思熟慮 ,V086,AUS,Dakota Sue,RUMINARE,15/10/2012,Super Mysterious,PPG,Fastnet Rock,5ccbfdbacce52f167aeb4fb7,110,Class 4,V086,2017-07-16 00:00:00,1137,1200M,10,1:10.73,GOOD,RUMINARE,12.0,H N Wong,4,840000,17,7,ST,BIG PROFIT HANDICAP,3,TURF - C Course,2 2 7,K L Man,Man K.L.,文家良,20,--,28,--,32,--,40,--,35,--,466,24139085.0,4.30%,Man K.L.,文家良,K L Man,Wong H.N.,黃皓楠,16.0,--,13.0,1,26.0,--,24.0,--,21.0,--,340.0,19556150.0,4.7%,Wong H.N.,黃皓楠,H N Wong
5,港林福星 ,A307,NZ,Now The World,SAVANNAH WIND,18/10/2013,----,ISG,Savabeel,5ccbfdbacce52f167aeb4fb8,125,Class 4,A307,2017-07-16 00:00:00,1076,1200M,4,1:10.79,GOOD,SAVANNAH WIND,7.0,K Teetan,4-1/2,840000,63,8,ST,BIG PROFIT HANDICAP,3,TURF - C Course,9 9 8,C S Shum,Shum C.S.,沈集成,48,--,36,--,55,--,41,--,43,1,542,60154052.0,8.90%,Shum C.S.,沈集成,C S Shum,Teetan K.,田泰安,40.0,2,59.0,1,54.0,1,58.0,--,58.0,--,631.0,60528275.0,6.3%,Teetan K.,田泰安,K Teetan
7,萬事欣 ,T129,AUS,Fairy Tree,MULTIMAX,24/09/2011,Magical Jester,PPG,Court Command,5ccbfdbacce52f167aeb4fb9,129,Class 4,T129,2017-07-16 00:00:00,1141,1200M,8,1:10.91,GOOD,MULTIMAX,3.0,K C Ng,5-1/4,840000,17,9,ST,BIG PROFIT HANDICAP,3,TURF - C Course,4 4 9,A S Cruz,Cruz A.S.,告東尼,50,--,74,--,46,--,53,1,62,1,594,118534492.0,8.40%,Cruz A.S.,告東尼,A S Cruz,Ng K.C.,吳嘉晉,5.0,--,4.0,--,6.0,--,8.0,1,10.0,--,250.0,7299500.0,2.0%,Ng K.C.,吳嘉晉,K C Ng
