Chinese Name,Code,English Name,Former Name,Sire,Dam,Import Type,Country Of Origin,Age,Foaling Date
高瞻遠矚 ,B345,ABOVE,----,Tavistock,Once More,PPG,NZ,3,14/10/2015
十分酷 ,A328,ABSOLUCOOL,----,Smart Missile,Eyelean,ISG,AUS,5,14/08/2013
明月光 ,T369,ACCLAIMED LIGHT,Acclaimed Light,Acclamation,Annee Lumiere,PP,IRE,7,18/04/2012
祥勝駿駒 ,T331,ACE KING,----,Exceed And Excel,Dixie Belle,ISG,GB,7,19/05/2012
明月昇輝 ,A324,ADONIS,----,Exceed And Excel,Mythical Play,ISG,AUS,5,05/09/2013
友瑩利 ,C310,AEROFLASH,----,Rock 'N' Pop,Fairy Tale,PPG,NZ,3,29/10/2015
友瑩囍 ,B249,AEROHAPPINESS,Marco The Smuck,Zacinto,In The Mood,PPG,NZ,4,29/09/2014
忠心勇士 ,C336,AETHERO,----,Sebring,Pinocchio,PPG,AUS,2,20/09/2016
裕豐泰 ,B056,AFFLUENCE START,Ubatuba,Lope de Vega,Loving New,PP,AUS,5,30/09/2013
喜悅天空 ,C195,AFRICAN SKY,African Sky,Shamardal,Angelita,PP,GB,4,21/02/2015
隨我來 ,B300,AFTER ME,Wolfofbaggotstreet,Equiano,Blue Dune,PP,IRE,4,20/03/2015
雲淡風輕 ,C040,AIOLOS,Trumphouse,Super Easy,Scrutiny,PPG,NZ,3,09/10/2015
魅影揚飛 ,A354,ALCARI,----,All Too Hard,Cariad,PPG,AUS,4,24/08/2014
西域猴王 ,A131,ALCAZAR,Alcazar,Rio de La Plata,Zarkiyna,PP,GB,5,07/04/2014
好友無敵 ,A217,ALL BEST FRIENDS,Pyx Chamber,Street Cry,Ambitious Lady,PP,AUS,5,15/08/2013
皆旺財 ,C278,ALL WONGCHOY,Bombe Alaska,Sizzling,Hannah In A Hurry,PPG,AUS,3,11/10/2015
快利寶 ,A320,ALL YOU KNOW,----,Dark Angel,Marseille Express,ISG,IRE,5,09/05/2014
快利 ,A006,ALL YOU NEED,Major Rich,Danerich,Metung Belle,PPG,AUS,5,09/10/2013
奮鬥同心 ,C314,ALLIED AGILITY,----,Star Witness,Spooked,PPG,AUS,3,10/09/2015
精算齊同 ,B102,ALPHA HEDGE,----,Sir Prancealot,Malta,PPG,IRE,5,08/04/2014
開創傳奇 ,C128,ALPHABET INVENTION,----,Bullbars,Wealth Queen,PPG,NZ,4,20/09/2014
美妙星 ,A202,AMAZING,Grincheux,Medaglia d'Oro,Pouter,PP,AUS,5,27/08/2013
君臨大地 ,V192,AMAZING AGILITY,Ajalo,King's Best,Wings Of Glory,PP,FR,7,20/04/2012
真妙星 ,C059,AMAZING CHOCOLATE,Nathula,Sepoy,Nanda Kot,PP,AUS,4,29/10/2014
奇妙星光 ,V408,AMAZING GOLD,Mint Chai,Roderic O'Connor,Tea Chest,PP,IRE,6,15/02/2013
一見傾心 ,B401,AMAZING LUCK,Jasd,Sepoy,Mabsam,PP,AUS,4,31/08/2014
韻妙星 ,A363,AMAZING SATCHMO,----,Kyllachy,Amitola,PPG,GB,5,19/03/2014
君達星 ,B019,AMAZING STAR,----,Darci Brahma,Bright Abyss,PPG,NZ,4,10/09/2014
繽紛紀錄 ,B206,AMAZING WONDER,Komodo,Dragon Pulse,Salydora,PP,IRE,5,09/05/2014
正本雄心 ,V303,AMBITIOUS HEART,----,Captain Sonador,Pyramisa's Lass,PPG,AUS,5,13/09/2013
駕迅 ,T063,AMBITIOUS SPEEDY,Dallas Cowboy,Bon Hoffa,Rondalla,PPG,AUS,7,14/09/2011
箭神寶 ,C384,APOLLOS BOW,Speedy Archer,Hussonet,Starred For Life,PPG,AUS,3,03/11/2015
喝采 ,A023,APPLAUSE,Count de Vega,Lope de Vega,Isola Di Capri,PP,AUS,6,22/09/2012
寶山鷹 ,C248,AQUILA,----,Exceed And Excel,Dreamworker,PPG,AUS,3,01/10/2015
有備而來 ,A240,ARCADA,Arcada,Rip Van Winkle,Applause,PP,IRE,5,15/03/2014
大當家 ,B145,ARDENODE,Ardenode,Hellvelyn,Coconut Kisses,PP,IRE,4,28/03/2015
耳後生風 ,C086,ARRIBA ARRIBA,Don't Call Me Love,Denman,Rough Chance,PPG,AUS,3,25/09/2015
神馬飛揚 ,V368,ART OF RAW,Art Of Raw,Myboycharlie,Tehamana,PP,FR,6,14/02/2013
飈驥 ,C160,ASSIMILATE,Assimilate,Sebring,Jester's Girl,PP,AUS,4,17/08/2014
駿協精英 ,V207,ASSOCIATION FANS,Gotham,Onemorenomore,Krysia,PP,AUS,6,06/09/2012
晨曦飛馬 ,C351,AURORA PEGASUS,----,Iffraaj,Eden,PPG,NZ,4,08/11/2014
晨曦寶馬 ,C023,AURORA STEED,Gaborone,Unencumbered,Miss Meerkat,PPG,AUS,3,28/10/2015
真勝者 ,C039,AUTHENTIC CHAMP,Authentic Champ,Star Witness,Considerable,PPG,AUS,3,06/10/2015
大師級 ,C271,BABY,Legion Fighter,Medaglia d'Oro,Don't Blink,PP,AUS,3,10/10/2015
孖寶飛龍 ,C380,BABY DRAGON,----,Denman,Gingerbread,PPG,AUS,2,09/10/2016
極速王 ,C231,BALLISTIC KING,Wandering Eye,Commands,Adulterer,PP,AUS,4,14/10/2014
大俠士 ,C373,BALTIC SUCCESS,Baltic Success,Exceed And Excel,Madame Pedrille,PP,AUS,4,08/09/2014
大武士 ,B216,BALTIC WHISPER,Baltic Whisper,Charge Forward,Le Sillage,PP,AUS,5,20/09/2013
健快聯盟 ,C135,BAND OF BROTHERS,----,Sakhee's Secret,Jan Valachi,PPG,NZ,4,06/09/2014
鋒仔 ,C282,BANDY,Banderos,Your Song,Spirit Of Rose,PPG,AUS,3,20/09/2015
又係熊 ,C301,BEAR AGAIN,Flying Free,Var,Frequent Flyer,PP,SAF,4,17/09/2014
滿冠熊 ,C143,BEAR SLAM,Purser,Mizzen Mast,Solo Piano,PP,USA,4,18/03/2015
爭分奪秒 ,V397,BEAT THE CLOCK,----,Hinchinbrook,Flion Fenena,PPG,AUS,5,14/09/2013
驫驫 ,A315,BEAUT BEAUT,----,Darci Brahma,Luscious Legs,ISG,NZ,5,07/08/2013
美麗友盈 ,C124,BEAUTY AMIGO,Brother Bear,Kodiac,Hurricane Emma,PP,IRE,4,06/02/2015
美麗掌聲 ,C228,BEAUTY APPLAUSE,Warwick,Stratum,Easy Step,PPG,AUS,3,18/09/2015
美麗天驕 ,C274,BEAUTY CHARISMA,Fifth Amendment,Statue Of Liberty,Promise To Rock,PP,AUS,3,12/10/2015
美麗日子 ,B076,BEAUTY DAY,Beauty Day,Footstepsinthesand,Lucy Diamonds,PPG,IRE,5,04/04/2014
美麗動力 ,B149,BEAUTY ENERGY,Son Of The Stars,Delegator,Michelle Shift,PP,GB,5,28/02/2014
美麗傳承 ,V380,BEAUTY GENERATION,Montaigne,Road To Rock,Stylish Bel,PP,NZ,6,27/09/2012
美麗標緻 ,C057,BEAUTY ICON,Guerrier,Epaulette,Flying Jet,PP,AUS,3,19/10/2015
忠心美麗 ,B383,BEAUTY LOYAL,Call Me Loyal,Darci Brahma,Singapore Sling,PP,AUS,4,07/09/2014
美麗躍動 ,C318,BEAUTY SPARK,All A Spritz,All American,Bubbly Duchess,PP,AUS,3,31/08/2015
美麗精神 ,B409,BEAUTY SPIRIT,Valiant Spirit,Duporth,Graces Spirit,PP,AUS,4,14/10/2014
美好時光 ,A374,BEAUTY TIME,I Got Shivers,Magnus,Verbatim,PP,AUS,5,20/10/2013
寶貝兒 ,B365,BELLA BABY,----,Havana Gold,Chanter,ISG,IRE,4,16/03/2015
機智神駒 ,B289,BELLAGIO,Idea From Above,Echoes Of Heaven,Idea,PPG,NZ,4,13/11/2014
紅粉彩影 ,C284,BEST ALLIANCE,Picture No Sound,Dark Angel,Little Audio,PP,IRE,4,29/03/2015
有衝勁 ,T220,BEST EFFORT,Chinese Jade,Cape Cross,Chinese White,PP,GB,8,25/03/2011
好友利 ,C223,BEST FOR YOU,Forestville,Not A Single Doubt,Frenchs Forest,PPG,AUS,3,18/10/2015
海龍 ,B036,BEST RUNNER,----,Redwood,Agi Gu Li,PPG,NZ,5,23/09/2013
自由喜 ,B359,BEST SMILE,----,Kodiac,City Dancer,ISG,IRE,4,26/03/2015
玩斗福星 ,B462,BESTA LUCK,Bitta Luck,Exceed And Excel,Gabrieli,PPG,AUS,4,14/11/2014
