Jockey,騎師,1ST,1DH,2ND,2DH,3RD,3DH,4TH,4DH,5TH,5DH,STARTS,STAKES,Win%
Purton Z.,潘頓,136,--,107,1,64,1,60,1,47,--,635,181824240.00,21.4%
Moreira J.,莫雷拉,134,--,98,1,76,--,74,1,50,--,660,162786520.00,20.3%
Teetan K.,田泰安,52,1,54,1,70,--,60,--,57,--,588,70099585.00,8.8%
Rawiller N.,羅理雅,40,--,43,1,38,--,29,--,25,--,324,58466750.00,12.3%
Schofield C.,史卓豐,38,--,27,--,33,--,44,--,31,--,410,55103300.00,9.3%
Leung K.C.,梁家俊,37,--,38,--,44,--,41,1,49,--,553,60011150.00,6.7%
Poon M.F.,潘明輝,35,--,37,--,50,--,42,--,47,--,454,43238600.00,7.7%
Rispoli U.,李寶利,31,--,33,--,34,--,40,1,36,--,465,39452275.00,6.7%
Whyte D.,韋達,28,--,37,--,35,--,35,--,41,1,400,38252500.00,7.0%
Callan N.,郭能,25,--,33,--,39,--,34,--,47,2,423,36670300.00,5.9%
Mo H.T.,巫顯東,25,--,33,--,15,--,23,--,19,--,302,27939150.00,8.3%
Ho C.Y.,何澤堯,24,--,22,--,32,--,30,2,31,1,458,27797650.00,5.2%
Wong H.N.,黃皓楠,24,1,23,--,18,--,23,1,27,1,367,26146425.00,6.5%
Yeung M.L.,楊明綸,23,--,17,--,25,--,34,1,38,1,461,25206850.00,5.0%
Berry T.,貝湯美,20,--,26,--,38,1,33,--,39,--,418,45697300.00,4.8%
Prebble B.,柏寶,20,--,25,--,32,--,23,--,29,--,347,37135000.00,5.8%
Chadwick M.,蔡明紹,19,--,32,--,20,--,35,--,36,--,386,28801650.00,4.9%
Clipperton S.,祈普敦,18,--,27,--,26,1,21,--,22,--,341,35485300.00,5.3%
Sanna A.,沈拿,17,--,16,--,24,--,36,--,23,1,344,26315150.00,4.9%
Doleuze O.,杜利萊,15,--,25,--,11,--,19,1,29,1,269,29963700.00,5.6%
Badel A.,巴度,14,--,16,--,19,--,16,--,22,--,205,19088700.00,6.8%
Wong C.,黃俊,13,--,12,--,13,1,13,--,8,--,145,14269950.00,9.0%
Lai W.M.,賴維銘,5,--,10,--,17,--,16,3,21,--,309,9378525.00,1.6%
Boudot P-C,布達德,5,--,1,--,8,--,4,--,4,--,51,4349890.00,9.8%
Ng K.C.,吳嘉晉,2,--,5,--,8,--,12,--,10,--,275,4990400.00,0.7%
Moore R.,莫雅,2,--,0,--,1,--,2,--,3,--,12,21697820.00,16.7%
So T.H.,蘇狄雄,1,--,3,--,5,--,3,--,5,--,52,2163650.00,1.9%
Ho W.L.,何華麟,1,--,1,--,0,--,1,--,0,--,7,1087700.00,14.3%
de Sousa S.,蘇兆輝,1,--,1,--,0,--,0,--,0,--,6,834240.00,16.7%
Murphy O.,莫艾誠,1,--,0,--,1,--,1,--,1,--,10,2253350.00,10.0%
Oliver D.,岳禮華,1,--,0,--,0,--,1,--,0,--,4,1772700.00,25.0%
Buick W.,布宜學,1,--,0,--,0,--,0,--,0,--,2,13680000.00,50.0%
Bowman H.,布文,0,--,3,--,3,--,2,--,0,--,16,6445440.00,0.0%
Maia R.,馬雅,0,--,1,--,1,--,1,--,0,--,7,442200.00,0.0%
Guyon M.,紀仁安,0,--,1,--,1,--,0,--,0,--,2,4173900.00,0.0%
Prat F.,柏列特,0,--,1,--,0,--,0,--,0,--,4,345840.00,0.0%
Mosse G.,巫斯義,0,--,0,--,4,--,1,--,1,--,29,2472950.00,0.0%
Henrique L.,韓偉傑,0,--,0,--,1,--,0,--,0,--,7,121440.00,0.0%
Tosaki K.,戶崎圭太,0,--,0,--,1,--,0,--,0,--,4,180780.00,0.0%
Demuro C.,杜滿樂,0,--,0,--,0,--,1,--,2,--,5,910380.00,0.0%
Soumillon C.,蘇銘倫,0,--,0,--,0,--,1,--,2,--,3,945850.00,0.0%
Lai H.W.,黎海榮,0,--,0,--,0,--,0,--,2,--,14,95900.00,0.0%
Take Y.,武豊,0,--,0,--,0,--,0,--,1,--,1,825000.00,0.0%
Williams C.,韋紀力,0,--,0,--,0,--,0,--,0,--,3,0.00,0.0%
Schofield G.,史科菲,0,--,0,--,0,--,0,--,0,--,2,360000.00,0.0%
Corrales L.,高君濤,0,--,0,--,0,--,0,--,0,--,2,0.00,0.0%
Heffernan J.,許覺能,0,--,0,--,0,--,0,--,0,--,2,0.00,0.0%
Pasquier S.,柏士祺,0,--,0,--,0,--,0,--,0,--,2,0.00,0.0%
Atzeni A.,艾兆禮,0,--,0,--,0,--,0,--,0,--,1,500000.00,0.0%
Iwata Y.,岩田康誠,0,--,0,--,0,--,0,--,0,--,1,370000.00,0.0%
Bertras F-X,貝卓成,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Crowley J.,高俊誠,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Demuro M.,杜滿萊,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Levey S.,李輝,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Peslier O.,柏兆雷,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Smith W.,史偉恩,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
