Jockey,騎師,Jockey2
Moreira J.,莫雷拉,J Moreira
Angland T.,安國倫,T Angland
Tosaki K.,戶崎圭太,K Tosaki
Purton Z.,潘頓,Z Purton
Soumillon C.,蘇銘倫,C Soumillon
de Sousa S.,蘇兆輝,S de Sousa
Moore R.,莫雅,R Moore
Bowman H.,布文,H Bowman
Berry T.,貝湯美,T Berry
Chiong K.K.,蔣嘉琦,K K Chiong
Prebble B.,柏寶,B Prebble
Williams C.,韋紀力,C Williams
Schofield G.,史科菲,G Schofield
Teetan K.,田泰安,K Teetan
Callan N.,郭能,N Callan
Rawiller N.,羅理雅,N Rawiller
Brown C.,白布朗,C Brown
Schofield C.,史卓豐,C Schofield
Whyte D.,韋達,D Whyte
Leung K.C.,梁家俊,K C Leung
Cheminaud V.,湛明諾,V Cheminaud
Mosse G.,巫斯義,G Mosse
Yeung M.L.,楊明綸,M L Yeung
Wong H.N.,黃皓楠,H N Wong
Benoist G.,貝諾華,G Benoist
Doleuze O.,杜利萊,O Doleuze
Bosson O.,寶遜,O Bosson
Chadwick M.,蔡明紹,M Chadwick
Ho C.Y.,何澤堯,C Y Ho
So T.H.,蘇狄雄,T H So
Cheng Y.T.,鄭雨滇,Y T Cheng
da Silva E.,姚力高,E da Silva
Lai H.W.,黎海榮,H W Lai
Lerena G.,雷景勳,G Lerena
Fourie R.,霍勵賢,R Fourie
Lai W.M.,賴維銘,W M Lai
Ng K.C.,吳嘉晉,K C Ng
Tong C.K.,湯智傑,C K Tong
Barzalona M.,巴米高,M Barzalona
Rispoli U.,李寶利,U Rispoli
Rodd M.,羅達,M Rodd
Shinn B.,薛恩,B Shinn
Clipperton S.,祈普敦,S Clipperton
Poon M.F.,潘明輝,M F Poon
Sanna A.,沈拿,A Sanna
Mo H.T.,巫顯東,H T Mo
Badel A.,巴度,A Badel
Wong C.,黃俊,C Wong
Murray C.,麥偉利,C Murray
Murphy O.,莫艾誠,O Murphy
Boudot P-C,布達德,P-C Boudot
Lane D.,連達文,D Lane
Maia R.,馬雅,R Maia
Ho W.L.,何華麟,W L Ho
nan,nan,nan
Juglall N.,祖格拉,N Juglall
Henrique L.,韓偉傑,L Henrique
Oliver D.,岳禮華,D Oliver
Guyon M.,紀仁安,M Guyon
Demuro C.,杜滿樂,C Demuro
Smullen P.,施慕齡,P Smullen
Prat F.,柏列特,F Prat
Demuro M.,杜滿萊,M Demuro
Geroux F.,鄭朗升,F Geroux
Buick W.,布宜學,W Buick
Clark T.,郭立基,T Clark
