Racecourse,RaceNo,RaceDate1,RaceDate2,RaceDate3
ST,11,2018,07,15
HV,8,2018,07,11
ST,11,2018,07,08
HV,8,2018,07,04
HV,8,2018,06,27
ST,10,2018,06,24
ST,10,2018,06,16
HV,8,2018,06,13
ST,11,2018,06,10
HV,8,2018,06,06
ST,10,2018,06,03
ST,8,2018,05,30
ST,11,2018,05,27
HV,8,2018,05,23
ST,10,2018,05,20
HV,8,2018,05,16
ST,10,2018,05,12
HV,8,2018,05,09
ST,11,2018,05,06
ST,8,2018,05,02
ST,10,2018,04,29
HV,8,2018,04,25
ST,10,2018,04,21
HV,8,2018,04,18
ST,11,2018,04,15
HV,8,2018,04,11
ST,10,2018,04,08
HV,8,2018,03,28
ST,10,2018,03,25
HV,8,2018,03,21
ST,10,2018,03,18
HV,8,2018,03,14
ST,10,2018,03,11
HV,8,2018,03,07
ST,10,2018,03,03
ST,8,2018,02,28
ST,11,2018,02,25
HV,9,2018,02,21
ST,11,2018,02,18
HV,8,2018,02,14
ST,10,2018,02,10
HV,8,2018,02,07
ST,10,2018,02,04
HV,8,2018,01,31
ST,10,2018,01,28
ST,8,2018,01,24
ST,10,2018,01,21
HV,8,2018,01,17
ST,10,2018,01,13
HV,8,2018,01,10
ST,10,2018,01,07
HV,8,2017,12,27
ST,10,2017,12,23
HV,8,2017,12,20
ST,10,2017,12,17
HV,8,2017,12,13
ST,10,2017,12,10
HV,9,2017,12,06
ST,10,2017,12,03
HV,8,2017,11,29
ST,10,2017,11,26
HV,8,2017,11,22
ST,10,2017,11,19
HV,8,2017,11,15
ST,10,2017,11,11
HV,8,2017,11,08
ST,10,2017,11,05
ST,8,2017,11,01
HV,10,2017,10,29
HV,8,2017,10,25
ST,10,2017,10,22
HV,8,2017,10,18
ST,10,2017,10,14
HV,8,2017,10,11
ST,10,2017,10,08
ST,10,2017,10,01
HV,8,2017,09,27
ST,10,2017,09,24
HV,8,2017,09,20
ST,10,2017,09,16
HV,8,2017,09,13
ST,10,2017,09,10
HV,8,2017,09,06
ST,10,2017,09,03
ST,11,2017,07,16
HV,8,2017,07,12
ST,10,2017,07,09
ST,10,2017,07,01
HV,8,2017,06,28
ST,10,2017,06,25
HV,8,2017,06,21
ST,10,2017,06,18
HV,8,2017,06,14
ST,10,2017,06,11
HV,8,2017,06,07
ST,10,2017,06,04
ST,8,2017,05,31
ST,10,2017,05,28
HV,8,2017,05,24
ST,10,2017,05,21
HV,8,2017,05,17
ST,10,2017,05,13
HV,8,2017,05,10
ST,10,2017,05,07
HV,8,2017,05,03
ST,10,2017,04,30
HV,8,2017,04,26
ST,10,2017,04,23
HV,8,2017,04,12
ST,10,2017,04,09
ST,8,2017,04,05
ST,10,2017,04,02
HV,8,2017,03,29
ST,10,2017,03,26
HV,8,2017,03,22
ST,10,2017,03,19
HV,8,2017,03,15
ST,10,2017,03,12
HV,8,2017,03,08
ST,11,2017,03,05
ST,8,2017,03,01
ST,10,2017,02,26
HV,8,2017,02,22
ST,10,2017,02,19
HV,8,2017,02,15
ST,10,2017,02,11
HV,8,2017,02,08
ST,10,2017,02,05
HV,9,2017,01,25
ST,10,2017,01,22
ST,8,2017,01,18
ST,10,2017,01,14
HV,8,2017,01,11
ST,10,2017,01,08
HV,8,2017,01,04
ST,11,2017,01,01
ST,10,2016,12,17
HV,8,2016,12,14
ST,10,2016,12,11
HV,9,2016,12,07
ST,10,2016,12,04
HV,8,2016,11,30
ST,10,2016,11,27
HV,8,2016,11,23
ST,10,2016,11,20
HV,8,2016,11,16
ST,10,2016,11,12
HV,8,2016,11,09
ST,11,2016,11,06
ST,8,2016,11,02
HV,10,2016,10,30
HV,8,2016,10,26
ST,10,2016,10,23
HV,8,2016,10,19
ST,11,2016,10,16
HV,8,2016,10,12
ST,10,2016,10,08
HV,8,2016,10,05
ST,11,2016,10,01
HV,8,2016,09,28
ST,10,2016,09,25
HV,8,2016,09,21
ST,10,2016,09,18
ST,10,2016,09,11
HV,8,2016,09,07
ST,10,2016,09,03
ST,11,2016,07,10
HV,9,2016,07,06
ST,10,2016,06,26
HV,8,2016,06,22
ST,11,2016,06,19
HV,8,2016,06,15
ST,11,2016,06,12
ST,10,2016,06,05
HV,8,2016,06,01
ST,10,2016,05,29
ST,11,2016,05,22
HV,9,2016,05,18
ST,10,2016,05,14
HV,8,2016,05,11
ST,10,2016,05,07
HV,8,2016,05,04
ST,11,2016,05,01
HV,8,2016,04,27
ST,10,2016,04,24
HV,8,2016,04,20
ST,10,2016,04,16
HV,9,2016,04,13
ST,11,2016,04,10
