Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Wt.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Sex,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,road,dist,going,class
1,2/1/12/2/13/10,,TEAM SPIRIT,B230,132,C Schofield,,12,W Y So,75,+2,1183,-13,1.09.21,4,-,g,2180400,+ 1,B,Pang Wai Hak Pang Ka Yeung & Andy Pang Ka Wai,Strategic,Forget Ima Lady,PPG,Turf, "C" Course,1200M,Good,Class 3
2,4/4/3/7,,UTOPIA LIFE,C166,130,Z Purton,,11,K L Man,73,0,1122,-9,,3,-,g,324300,+ 1,B,Tam Ho Man,Wicked Style,Camphor,PP,Turf, "C" Course,1200M,Good,Class 3
3,10,,SPACE,C339,129,M L Yeung(-2),,7,Y S Tsui,72,0,1107,+1,,3,-,g,0,+ 1,B-,Michael Wong Tak Choy & Frankie Wong,Showcasing,Shuswap,PP,Turf, "C" Course,1200M,Good,Class 3
4,1/3/1/2,,SUPER MISSILE,B081,128,W L Ho,,6,F C Lor,71,+10,1230,-38,1.10.36,4,-,g,0,+ 1,,Happy Project Syndicate,Smart Missile,Hula Here,PPG,Turf, "C" Course,1200M,Good,Class 3
5,-,,SHARP STYLE,C200,127,A Domeyer,,2,A T Millard,70,-,1118,-,,4,-,g,0,+ 1,B1,Mr & Mrs Tung Woo Ping Tung Wai Shing and Tung Sau Man,Style Vendome,Sloane de Borepair,PP,Turf, "C" Course,1200M,Good,Class 3
6,8/6,,UNIQUE TREASURE,C141,126,U Rispoli,,1,K H Ting,69,-2,1101,+4,,4,-,g,0,* 1,H/XB,Tsoi Wai,Exceed And Excel,Aria Di Festa,PP,Turf, "C" Course,1200M,Good,Class 3
7,4/1/3/8/6/4,,NORDIC WARRIOR,B371,124,M Chadwick,,3,R Gibson,67,0,1082,+1,1.09.92,4,-,g,1988700,1,B,Edmond Yue Kwok Yin,Dutch Art,Girl Power,ISG,Turf, "C" Course,1200M,Good,Class 3
8,2/11/6/4/8,,FIRST RESPONDER,C205,122,G van Niekerk,,5,J Moore,70,+4,1132,-14,1.10.02,3,5,g,434700,+ 1,TT,Hong Kong St John Presidents Club Syndicate,Helmet,Capote West,PP,Turf, "C" Course,1200M,Good,Class 3
9,4/6/10/3/9/2,,AEROHAPPINESS,B249,121,J Moreira,,10,J Size,64,+3,1254,+8,1.09.10,4,-,g,862500,+ 1,,Fortune Owners Syndicate,Zacinto,In The Mood,PPG,Turf, "C" Course,1200M,Good,Class 3
10,6/2/6/8/11/5,,CALIFORNIA GUNGHO,B204,120,C Y Ho,,9,A S Cruz,63,0,1113,-8,1.10.16,4,-,g,641700,+ 1,B/TT,Chester Liang Jun Yu,Shakespearean,Less Crazy,PP,Turf, "C" Course,1200M,Good,Class 3
11,3/1/4/7/3/5,,CHARIZARD,B463,120,K Teetan,,8,D E Ferraris,63,0,1006,-27,1.09.67,4,-,g,1759500,+ 1,TT,Michelle Chan Kam Ha,Onemorenomore,Whatsaname,PPG,Turf, "C" Course,1200M,Good,Class 3
12,11/6/11/7/9/8,,THE JUDGE,A147,120,R Bayliss,,4,C Fownes,63,-2,1035,-13,1.09.70,6,-,g,834900,1,H/TT,Eddie Junior Yau,Align,Annalee,PP,Turf, "C" Course,1200M,Good,Class 3
