Trainer,練馬師,1ST,1DH,2ND,2DH,3RD,3DH,4TH,4DH,5TH,5DH,STARTS,STAKES,Win%
Size J.,蔡約翰,68,1,60,--,54,1,40,1,42,1,461,97917837.50,14.8%
Shum C.S.,沈集成,54,--,40,1,38,--,41,--,39,--,456,50981512.50,11.8%
Moore J.,約翰摩亞,52,--,41,--,53,--,35,1,45,1,533,121749450.00,9.8%
Cruz A.S.,告東尼,50,--,48,--,55,--,47,--,49,--,554,93637570.00,9.0%
O'Sullivan P.,蘇保羅,50,--,40,--,36,--,28,1,24,1,384,49520775.00,13.0%
Tsui Y.S.,徐雨石,44,--,52,--,38,--,44,1,46,--,557,41482062.50,7.9%
Fownes C.,方嘉柏,40,--,41,--,46,--,40,1,41,--,533,53656725.00,7.5%
Yip C.H.,葉楚航,38,--,36,--,46,--,42,--,40,--,549,41016900.00,6.9%
Lui K.W.,呂健威,38,--,30,--,20,--,24,--,21,--,351,38015485.00,10.8%
Millard A.T.,苗禮德,37,--,34,--,44,--,36,--,36,--,448,42502655.00,8.3%
So W.Y.,蘇偉賢,34,--,27,--,23,--,42,1,39,2,467,30603617.50,7.3%
Yiu P.F.,姚本輝,34,1,49,1,45,2,31,1,49,--,464,42615125.00,7.3%
Hall D.J.,賀賢,34,1,32,--,31,1,29,1,40,--,398,36136250.00,8.5%
Man K.L.,文家良,33,--,29,1,33,--,32,--,33,--,430,30076725.00,7.7%
Yung T.P.,容天鵬,29,--,34,1,35,--,34,--,42,--,393,35046412.50,7.4%
Ho L.,何良,26,--,20,--,22,--,21,--,30,--,308,21681300.00,8.4%
Lee A.,李易達,23,--,26,--,28,--,37,--,26,1,420,20907737.50,5.5%
Cruz D.,告達理,18,1,24,--,17,--,27,2,24,--,353,18244535.00,5.1%
Chang C.W.,鄭俊偉,17,--,23,--,29,--,26,1,15,--,328,16274650.00,5.2%
Ferraris D.E.,霍利時,16,--,33,--,33,--,43,--,23,--,390,20679925.00,4.1%
Gibson R.,高伯新,16,--,30,--,21,--,40,1,25,--,328,45729950.00,4.9%
Schutz A.,孫達志,11,--,10,--,13,--,14,--,16,--,251,8767625.00,4.4%
Woods S.,胡森,10,--,14,--,14,--,21,--,23,--,219,9623075.00,4.6%
Ng T.K.,吳定強,9,--,8,--,9,--,11,--,10,--,220,5886100.00,4.1%
Hori N.,堀宣行,2,--,0,--,0,--,0,--,0,--,3,21090000.00,66.7%
O'Brien A.P.,岳伯仁,1,--,0,--,0,--,0,--,0,--,2,9405000.00,50.0%
Sakaguchi M.,坂口正則,1,--,0,--,0,--,0,--,0,--,1,14250000.00,100.0%
Hawkes M.,賀米高,1,--,0,--,0,--,0,--,0,--,1,5700000.00,100.0%
Fabre A.,費伯華,0,--,1,--,0,--,1,--,0,--,2,4941000.00,0.0%
Saito M.,齋藤誠,0,--,1,--,0,--,0,--,0,--,2,5900000.00,0.0%
Lau J.,劉志森,0,--,1,--,0,--,0,--,0,--,1,660000.00,0.0%
de Royer Dupre,羅迪普,0,--,0,--,1,--,0,--,0,--,1,1650000.00,0.0%
Ikee Y.,池江泰壽,0,--,0,--,0,--,1,--,0,--,2,1140000.00,0.0%
Delzangles M.,杜誠高,0,--,0,--,0,--,1,--,0,--,1,940500.00,0.0%
Enebish G.,伊奈拔殊,0,--,0,--,0,--,0,--,1,--,2,610500.00,0.0%
Lees K.,李善,0,--,0,--,0,--,0,--,1,--,1,825000.00,0.0%
Appleby C.,艾柏賓,0,--,0,--,0,--,0,--,1,--,1,462000.00,0.0%
Fujiwara H.,藤原英昭,0,--,0,--,0,--,0,--,0,--,3,0.00,0.0%
Hayes D.A.,大衛希斯,0,--,0,--,0,--,0,--,0,--,2,0.00,0.0%
Barande-Barbe,鮑歌蓮,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
de Kock M.F.,郭克,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Fung Y.C.,馮耀正,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Hannon R.,向禮倫,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Head F.,赫德,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Heathcote R.,夏國廷,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Kunieda S.,國枝榮,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
"Lee, Pat",李家輝,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Lynam E.M.,李南,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Mader E.,麥雅麗,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
O'Meara D.,歐米羅,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
O'Shea J.,奧詩,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Otonashi H.,音無秀孝,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Ozeki T.,尾關知人,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Stoute Sir M.R,司徒德爵士,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Tam M.C.,譚文就,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Waller C.,華禮納,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Ward W.A.,華特,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Weld D.K.,衛爾德,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Wong K.C.,王國全,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
